noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
1,4,,0,,,,,,,
2,5,,0,,,,,,,
3,6,,0,,,,,,,
4,7,,0,,,,,,,
4,7,,3,,,,,,,
1,8,,0,,,,,,,
1,8,,2,,,,,,,
2,9,,0,,,,,,,
2,9,,2,,,,,,,
3,10,,0,,,,,,,
3,10,,2,,,,,,,
4,11,,0,,,,,,,
4,11,,2,,,,,,,
4,12,,0,,,,,,,
4,12,,2,,,,,,,
3,13,,0,,,,,,,
3,13,,2,,,,,,,
2,14,,0,,,,,,,
2,14,,2,,,,,,,
1,15,,0,,,,,,,
1,15,,2,,,,,,,
0,피아노,,,,,,,,,
4,16,,0,,,,,,,
3,16,,2,,,,,,,
2,17,,0,,,,,,,
3,17,,2,,,,,,,
3,17,,3,,,,,,,
2,18,,0,,,,,,,
2,18,,2,,,,,,,
1,19,,0,,,,,,,
1,19,,1,,,,,,,
1,19,,2,,,,,,,
1,19,,3,,,,,,,
1,20,,0,,,,,,,
2,20,,2,,,,,,,
2,21,,0,,,,,,,
3,21,,2,,,,,,,
3,21,,3,,,,,,,
4,22,,0,,,,,,,
4,22,,1,,,,,,,
4,22,,2,,,,,,,
4,22,,3,,,,,,,
4,23,,,0,,,,,,
4,23,,,1,,,,,,
4,23,,,2,,,,,,
4,23,,,4,,,,,,
4,23,,,5,,,,,,
4,23,,,6,,,,,,
4,23,,,7,,,,,,
4,24,,0,,,,,,,
4,24,,2,,,,,,,
3,25,,0,,,,,,,
3,25,,2,,,,,,,
3,26,,0,,,,,,,
3,26,,2,,,,,,,
2,27,,0,,,,,,,
2,27,,2,,,,,,,
2,27,,3,,,,,,,
1,28,,0,,,,,,,
1,28,,1,,,,,,,
1,28,,2,,,,,,,
1,28,,3,,,,,,,
2,29,,0,,,,,,,
2,29,,1,,,,,,,
2,29,,2,,,,,,,
2,29,,3,,,,,,,
3,30,,0,,,,,,,
3,30,,1,,,,,,,
4,30,,2,,,,,,,
4,30,,3,,,,,,,
0,엇박구간,,,,,,,,,
a,31,,0,,,,,,,
1,32,,0,,,,,,,
1,32,,1,,,,,,,
1,32,,2,,,,,,,
1,32,,3,,,,,,,
1,33,,0,,,,,,,
1,33,,1,,,,,,,
1,33,,2,,,,,,,
1,33,,3,,,,,,,
1,34,,0,,,,,,,
1,34,,1,,,,,,,
1,34,,2,,,,,,,
1,35,,0,,,,,,,
1,35,,1,,,,,,,
1,35,,2,,,,,,,
1,35,,3,,,,,,,
1,36,,0,,,,,,,
1,36,,1,,,,,,,
1,36,,2,,,,,,,
1,36,,3,,,,,,,
2,37,,0,,,,,,,
3,37,,2,,,,,,,
3,37,,3,,,,,,,
4,38,,0,,,,,,,
4,38,,1,,,,,,,
4,38,,2,,,,,,,
4,39,,0,,,,,,,
3,39,,1,,,,,,,
2,39,,2,,,,,,,
1,39,,3,,,,,,,
0,빌드업,,,,,,,,,
1,40,,0,,,,,,,
1,40,,1,,,,,,,
1,40,,2,,,,,,,
1,40,,3,,,,,,,
2,41,,0,,,,,,,
2,41,,1,,,,,,,
2,41,,2,,,,,,,
2,41,,3,,,,,,,
3,42,,0,,,,,,,
3,42,,1,,,,,,,
3,42,,2,,,,,,,
3,42,,3,,,,,,,
3,43,,0,,,,,,,
3,43,,1,,,,,,,
3,43,,2,,,,,,,
3,43,,3,,,,,,,
2,44,,0,,,,,,,
2,44,,1,,,,,,,
2,44,,2,,,,,,,
2,44,,3,,,,,,,
3,45,,0,,,,,,,
3,45,,1,,,,,,,
3,45,,2,,,,,,,
3,45,,3,,,,,,,
4,46,,0,,,,,,,
4,46,,1,,,,,,,
4,46,,2,,,,,,,
4,46,,3,,,,,,,
a,47,,0,,,,,,,
2,47,,,6,,,,,,
2,47,,,7,,,,,,
0,하이라이트,,,,,,,,,
1,48,,0,,,,,,,
1,48,,1,,,,,,,
1,48,,2,,,,,,,
1,48,,3,,,,,,,
1,48,,3,1,,,,,,
1,49,,0,,,,,,,
1,49,,1,,,,,,,
1,49,,2,,,,,,,
1,49,,3,,,,,,,
2,50,,0,,,,,,,
2,50,,1,,,,,,,
2,50,,2,,,,,,,
2,50,,2,1,,,,,,
2,50,,3,,,,,,,
2,51,,0,,,,,,,
2,51,,1,,,,,,,
2,51,,2,,,,,,,
2,51,,3,,,,,,,
2,51,,3,1,,,,,,
3,52,,0,,,,,,,
3,52,,1,,,,,,,
3,52,,2,,,,,,,
3,52,,3,,,,,,,
3,52,,3,1,,,,,,
3,53,,0,,,,,,,
3,53,,1,,,,,,,
3,53,,2,,,,,,,
3,53,,3,,,,,,,
3,53,,3,1,,,,,,
4,54,,0,,,,,,,
4,54,,1,,,,,,,
4,54,,2,,,,,,,
4,54,,3,,,,,,,
4,55,,0,,,,,,,
4,55,,1,,,,,,,
4,55,,2,,,,,,,
4,55,,3,,,,,,,
4,55,,3,1,,,,,,
4,56,,0,,,,,,,
4,56,,1,,,,,,,
4,56,,2,,,,,,,
4,56,,3,,,,,,,
4,56,,3,1,,,,,,
4,57,,0,,,,,,,
4,57,,1,,,,,,,
4,57,,2,,,,,,,
4,57,,3,,,,,,,
4,57,,3,1,,,,,,
3,58,,0,,,,,,,
3,58,,1,,,,,,,
3,58,,2,,,,,,,
3,58,,2,1,,,,,,
3,58,,3,,,,,,,
3,59,,0,,,,,,,
3,59,,1,,,,,,,
3,59,,2,,,,,,,
3,59,,3,,,,,,,
3,59,,3,1,,,,,,
2,60,,0,,,,,,,
2,60,,1,,,,,,,
2,60,,2,,,,,,,
2,60,,3,,,,,,,
2,60,,3,1,,,,,,
2,61,,0,,,,,,,
2,61,,1,,,,,,,
2,61,,2,,,,,,,
2,61,,2,1,,,,,,
2,61,,3,,,,,,,
1,62,,0,,,,,,,
1,62,,1,,,,,,,
1,62,,2,,,,,,,
1,62,,3,,,,,,,
1,62,,3,1,,,,,,
1,63,,0,,,,,,,
1,63,,1,,,,,,,
1,63,,2,,,,,,,
1,63,,3,,,,,,,
0,엔딩,,,,,,,,,
4,64,,,,0,,,,,
4,64,,,,3,,,,,
3,64,,,3,,,,,,
3,64,,,4,,,,,,
3,64,,,5,,,,,,
2,64,,,6,,,,,,
2,64,,,7,,,,,,
1,65,,0,,,,,,,
1,65,,1,,,,,,,
1,65,,2,,,,,,,
1,65,,3,,,,,,,
1,66,,0,,,,,,,
1,66,,1,,,,,,,
1,66,,2,,,,,,,
1,66,,3,,,,,,,
1,67,,0,,,,,,,
1,67,,1,,,,,,,
1,67,,2,,,,,,,
1,67,,3,,,,,,,
1,68,,0,,,,,,,
1,68,,1,,,,,,,
1,68,,2,,,,,,,
1,68,,3,,,,,,,
1,69,,0,,,,,,,
1,69,,1,,,,,,,
1,69,,2,,,,,,,
1,69,,3,,,,,,,
3,70,,0,,,,,,,
3,70,,1,,,,,,,
3,70,,2,,,,,,,
3,70,,3,,,,,,,
3,71,,0,,,,,,,
3,71,,1,,,,,,,
3,71,,2,,,,,,,
3,71,,3,,,,,,,
3,72,,0,,,,,,,
4,72,,0,1,,,,,,
3,72,,1,,,,,,,
4,72,,1,1,,,,,,
3,72,,2,,,,,,,
4,72,,2,1,,,,,,
3,72,,3,,,,,,,
4,72,,3,1,,,,,,
4,73,,1,,,,,,,
4,73,,2,,,,,,,
4,73,,3,,,,,,,
4,74,,0,,,,,,,
4,74,,1,,,,,,,
