noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
1,2,,0,,,,,,,
5,,,1,,,,,,,
1,,,2,,,,,,,
5,,,3,,,,,,,
1,,,,,15,,,,,
1,3,,0,,,,,,,
8,,,1,,,,,,,
1,,,2,,,,,,,
8,,,3,,,,,,,
2,,,,,15,,,,,
2,4,,0,,,,,,,
8,,,1,,,,,,,
2,,,2,,,,,,,
8,,,3,,,,,,,
3,,,,,15,,,,,
3,5,,0,,,,,,,
a,,,1,,,,,,,
3,,,2,,,,,,,
a,,,3,,,,,,,
4,,,,,15,,,,,
4,6,,0,,,,,,,
a,,,1,,,,,,,
4,,,2,,,,,,,
a,,,3,,,,,,,
3,,,,,15,,,,,
3,7,,0,,,,,,,
8,,,1,,,,,,,
3,,,2,,,,,,,
8,,,3,,,,,,,
3,,,,,15,,,,,
3,8,,0,,,,,,,
5,,,1,,,,,,,
3,,,2,,,,,,,
5,,,3,,,,,,,
2,,,,,15,,,,,
2,9,,0,,,,,,,
a,,,1,,,,,,,
2,,,2,,,,,,,
a,,,3,,,,,,,
1,,,,,15,,,,,
1,10,,0,,,,,,,
1,,,1,,,,,,,
1,,,2,,,,,,,
1,,,3,,,,,,,
2,11,,,1,,,,,,
2,,,,3,,,,,,
2,,,,4,,,,,,
2,,,,5,,,,,,
2,,,,6,,,,,,
2,,,,7,,,,,,
1,12,,0,,,,,,,
5,,,1,,,,,,,
1,,,2,,,,,,,
5,,,3,,,,,,,
2,,,,,15,,,,,
1,13,,0,,,,,,,
8,,,1,,,,,,,
1,,,2,,,,,,,
8,,,3,,,,,,,
3,,,,,15,,,,,
2,14,,0,,,,,,,
8,,,1,,,,,,,
2,,,2,,,,,,,
8,,,3,,,,,,,
4,,,,,15,,,,,
3,15,,0,,,,,,,
a,,,1,,,,,,,
3,,,2,,,,,,,
a,,,3,,,,,,,
4,,,,,15,,,,,
4,16,,0,,,,,,,
a,,,1,,,,,,,
4,,,2,,,,,,,
a,,,3,,,,,,,
2,,,,,15,,,,,
3,17,,0,,,,,,,
8,,,1,,,,,,,
3,,,2,,,,,,,
8,,,3,,,,,,,
2,,,,,15,,,,,
3,18,,0,,,,,,,
5,,,1,,,,,,,
3,,,2,,,,,,,
5,,,3,,,,,,,
1,,,,,15,,,,,
2,19,,0,,,,,,,
a,,,1,,,,,,,
2,,,2,,,,,,,
a,,,3,,,,,,,
1,,,,,15,,,,,
1,20,,0,,,,,,,
1,,,1,,,,,,,
1,,,2,,,,,,,
1,,,3,,,,,,,
3,21,,,1,,,,,,
3,,,,3,,,,,,
3,,,,4,,,,,,
3,,,,5,,,,,,
3,,,,,12,,,,,
3,,,,,13,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
0,저속구간,,,,,,,,,
6,22,,0,,,,,,,
4,,,1,,,,,,,
