noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
e,2,,,,,,,,,
8,3,1,,,,,,,,
2,4,,0,,,,,,,
8,,,2,,,,,,,
2,,,3,,,,,,,
2,5,,0,,,,,,,
2,,,1,,,,,,,
8,,,2,,,,,,,
3,,,3,,,,,,,
3,,,3,,1,,,,,
3,,,3,,2,,,,,
3,6,,0,,,,,,,
8,,,2,,,,,,,
3,,,3,,,,,,,
3,7,,,,0,,,,,
3,,,,,3,,,,,
3,,,,,6,,,,,
8,,,,,8,,,,,
3,,,,,10,,,,,
3,8,,0,,,,,,,
8,,,2,,,,,,,
3,,,3,,,,,,,
3,9,,0,,,,,,,
3,,,1,,,,,,,
8,,,2,,,,,,,
2,,,3,,,,,,,
2,,,3,,1,,,,,
2,,,3,,2,,,,,
2,10,,0,,,,,,,
8,,,2,,,,,,,
2,,,3,,,,,,,
2,11,,,,0,,,,,
2,,,,,3,,,,,
2,,,,,6,,,,,
8,,,,,8,,,,,
2,,,,,10,,,,,
e,,,,,12,,,,,
2,12,,,,0,,,,,
2,,,,,3,,,,,
8,,,,,6,,,,,
8,,,,,8,,,,,
3,,,,,12,,,,,
3,13,,0,,,,,,,
3,,,1,,,,,,,
8,,,2,,,,,,,
3,,,2,,2,1,,,,
8,,,3,,,,,,,
3,,,3,,1,,,,,
3,,,3,,2,,,,,
3,14,,,0,,,,,,
3,,,,1,,,,,,
3,,,,2,,,,,,
4,,,2,,,,,,,
4,,,3,,,,,,,
4,15,,,,0,,,,,
4,,,,,3,,,,,
4,,,,,6,,,,,
8,,,,,8,,,,,
3,,,,,10,,,,,
3,,,,,12,,,,,
1,16,,,0,,,,,,
1,,,,1,,,,,,
5,,,,2,,,,,,
1,,,,3,,,,,,
1,,,,4,,,,,,
1,,,,5,,,,,,
5,,,,6,,,,,,
1,,,,7,,,,,,
1,17,,,0,,,,,,
1,,,,1,,,,,,
5,,,,2,,,,,,
1,,,,3,,,,,,
1,,,,4,,,,,,
1,,,,5,,,,,,
5,,,,6,,,,,,
1,,,,7,,,,,,
2,18,,,,0,,,,,
2,,,,,1,,,,,
5,,,,,2,,,,,
2,,,,,3,,,,,
2,,,,,4,,,,,
2,,,,,5,,,,,
5,,,,,6,,,,,
2,,,,,7,,,,,
2,,,,,8,,,,,
2,,,,,9,,,,,
5,,,,,10,,,,,
2,,,,,11,,,,,
2,,,,,12,,,,,
2,,,,,13,,,,,
5,,,,,14,,,,,
2,,,,,15,,,,,
8,19,,,,0,,,,,
8,,,,,1,,,,,
8,,,,,2,,,,,
8,,,,,3,,,,,
8,,,,,4,,,,,
8,,,,,5,,,,,
8,,,,,6,,,,,
8,,,,,7,,,,,
8,,,,,8,,,,,
4,,,,5,,,,,,
4,,,,6,,,,,,
4,,,,7,,,,,,
0,퓨쳐,,,,,,,,,
3,20,,1,,,,,,,
4,,,1,,,,,,2,
3,,,2,,,,,,,
3,,,3,,,,,,,
4,,,3,,3,,,,,
e,21,,0,,,,,,,
3,,,1,,,,,,,
3,,,1,,,,,,1,
4,,,1,,,,,,2,
8,,,2,,,,,,,
4,,,2,,,,,,2,
3,,,3,,,,,,,
2,22,,1,,,,,,,
2,,,1,,,,,,1,
3,,,1,,,,,,2,
8,,,2,,,,,,,
3,,,3,,,,,,,
4,,,3,,,,,,2,
8,23,,0,,,,,,,
4,,,0,,,,,,2,
4,,,1,,,,,,2,
a,,,2,,,,,,,
4,,,2,,,,,,2,
3,,,3,,,,,,,
4,,,3,,,,,,2,
8,24,,0,,,,,,,
4,,,0,,,,,,2,
3,,,1,,,,,,,
3,,,1,,,,,,1,
4,,,1,,,,,,2,
a,,,2,,,,,,,
4,,,2,,,,,,2,
3,,,3,,,,,,,
4,,,3,,,,,,2,
8,25,,0,,,,,,,
2,,,1,,,,,,1,
3,,,1,,,,,,2,
5,,,2,,,,,,,
3,,,2,,,,,,2,
2,,,3,,,,,,,
8,26,,0,,,,,,,
2,,,1,,,,,,,
2,,,1,,,,,,1,
3,,,1,,,,,,2,
5,,,2,,,,,,,
3,,,2,,,,,,2,
2,,,3,,,,,,,
3,,,3,,,,,,2,
8,27,,0,,,,,,,
2,,,1,,,,,,,
3,,,1,,,,,,2,
5,,,2,,,,,,,
2,,,3,,,,,,,
2,,,3,,,,,,,5
3,28,,0,,,,,,,
e,,,2,,,,,,,
4,,,2,,,,,,2,
3,,,3,,,,,,,
4,29,,1,,,,,,,
3,,,1,,,,,,1,
3,,,1,,,,,,2,
a,,,2,,,,,,,
3,,,3,,,,,,,
3,,,3,,3,,,,,
8,30,,0,,,,,,,
4,,,1,,,,,,,
3,,,1,,,,,,2,
a,,,2,,,,,,,
3,,,2,,,,,,1,
3,,,2,,,,,,2,
4,,,3,,,,,,,
3,,,3,,,,,,2,
8,31,,0,,,,,,,
3,,,0,,,,,,2,
4,,,1,,,,,,,
3,,,1,,,,,,1,
3,,,1,,,,,,2,
a,,,2,,,,,,,
3,,,2,,,,,,2,
4,,,3,,,,,,,
3,,,3,,,,,,2,
6,32,,0,,,,,,,
2,,,0,,3,,,,,
a,,,2,,,,,,,
2,,,2,,,,,,1,
2,,,2,,,,,,2,
3,,,3,,,,,,,
2,,,3,,,,,,2,
6,33,,0,,,,,,,
3,,,1,,,,,,,
2,,,1,,,,,,1,
2,,,1,,,,,,2,
a,,,2,,,,,,,
2,,,2,,,,,,2,
3,,,3,,,,,,,
2,,,3,,,,,,2,
6,34,,0,,,,,,,
3,,,0,,,,,,2,
3,,,1,,,,,,,
4,,,2,,,,,,,
8,,,3,,,,,,,
0,브레이크,,,,,,,,,
7,35,,,0,,,,,,
2,,,,1,,,,,,
1,,,,2,,,,,,
2,,,,3,,,,,,
1,,,,4,,,,,,
2,,,,5,,,,,,
1,,,,6,,,,,,
2,,,,7,,,,,,
1,36,,,0,,,,,,
2,,,,1,,,,,,
1,,,,2,,,,,,
2,,,,3,,,,,,
1,,,,4,,,,,,
2,,,,5,,,,,,
1,,,,6,,,,,,
2,,,,7,,,,,,
3,37,,,0,,,,,,
2,,,,1,,,,,,
3,,,,2,,,,,,
2,,,,3,,,,,,
3,,,,4,,,,,,
2,,,,5,,,,,,
3,,,,6,,,,,,
2,,,,7,,,,,,
3,38,,,0,,,,,,
2,,,,1,,,,,,
3,,,,2,,,,,,
2,,,,3,,,,,,
3,,,,4,,,,,,
2,,,,5,,,,,,
3,,,,6,,,,,,
2,,,,7,,,,,,
4,39,,,0,,,,,,
4,,,,1,,,,,,
4,,,,2,,,,,,
4,,,,3,,,,,,
e,,,,4,,,,,,
4,,,,5,,,,,,
4,,,,6,,,,,,
4,,,,7,,,,,,
4,40,,,0,,,,,,
4,,,,1,,,,,,
4,,,,2,,,,,,
4,,,,3,,,,,,
e,,,,4,,,,,,
4,,,,5,,,,,,
4,,,,6,,,,,,
4,,,,7,,,,,,
4,41,,,0,,,,,,
4,,,,1,,,,,,
4,,,,2,,,,,,
4,,,,3,,,,,,
