noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
2,2,,,,,,,,,
2,,,1,,,,,,,
2,,,2,,,,,,,
2,,,3,,,,,,,
2,3,,,,,,,,,
2,,,1,,,,,,,
2,,,2,,,,,,,
8,,,3,,,,,,,
3,4,,,,,,,,,
4,,,,,1,,,,,
3,,,,,2,,,,,
3,,,,,4,,,,,
4,,,,,5,,,,,
3,,,,,6,,,,,
3,,,,,8,,,,,
4,,,,,9,,,,,
3,,,,,10,,,,,
3,,,,,12,,,,,
4,,,,,13,,,,,
3,,,,,14,,,,,
3,5,,,,,,,,,
4,,,,,1,,,,,
3,,,,,2,,,,,
3,,,,,4,,,,,
4,,,,,5,,,,,
3,,,,,6,,,,,
3,,,,,8,,,,,
4,,,,,9,,,,,
3,,,,,10,,,,,
3,,,,,12,,,,,
4,,,,,13,,,,,
3,,,,,14,,,,,
2,6,,,,,,,,,
4,,,,,1,,,,,
2,,,,,2,,,,,
2,,,,,4,,,,,
4,,,,,5,,,,,
2,,,,,6,,,,,
2,,,,,8,,,,,
4,,,,,9,,,,,
2,,,,,10,,,,,
2,,,,,12,,,,,
4,,,,,13,,,,,
2,,,,,14,,,,,
2,7,,,,,,,,,
4,,,,,1,,,,,
2,,,,,2,,,,,
2,,,,,4,,,,,
4,,,,,5,,,,,
4,,,,,6,,,,,
4,,,,,7,,,,,
2,,,,,8,,,,,
4,,,,,9,,,,,
2,,,,,10,,,,,
2,,,,,12,,,,,
4,,,,,13,,,,,
2,,,,,14,,,,,
3,8,,,,,,,,,
3,,,,3,,,,,,
3,,,,4,,,,,,
3,,,,6,,,,,,
4,9,,,,,,,,,
4,,,,2,,,,,,
4,,,,3,1,,,,,
4,,,,4,,,,,,
4,,,,5,,,,,,
4,,,,6,,,,,,
2,10,,,,,,,,,
3,,,,,1,,,,,
2,,,,,2,,,,,
2,,,,,4,,,,,
3,,,,,5,,,,,
2,,,,,6,,,,,
2,,,,,8,,,,,
3,,,,,9,,,,,
2,,,,,10,,,,,
2,,,,,12,,,,,
3,,,,,13,,,,,
2,,,,,14,,,,,
3,11,,,,,,,,,
4,,,,,1,,,,,
3,,,,,2,,,,,
3,,,,,4,,,,,
4,,,,,5,,,,,
4,,,,,6,,,,,
4,,,,,7,,,,,
3,,,,,8,,,,,
4,,,,,9,,,,,
3,,,,,10,,,,,
3,,,,,12,,,,,
4,,,,,13,,,,,
3,,,,,14,,,,,
2,12,,,,,,,,,
2,,,,3,,,,,,
2,,,,4,,,,,,
2,,,,6,,,,,,
3,13,,,,,,,,,
3,,,,2,,,,,,
3,,,,3,1,,,,,
3,,,,4,,,,,,
3,,,,5,,,,,,
4,,,,5,1,,,,,
3,,,,6,,,,,,
3,,,,7,,,,,,
3,14,,,,,,,,,
4,,,,,1,,,,,
3,,,,,2,,,,,
3,,,,,4,,,,,
4,,,,,5,,,,,
3,,,,,6,,,,,
3,,,,,8,,,,,
4,,,,,9,,,,,
3,,,,,10,,,,,
3,,,,,12,,,,,
4,,,,,13,,,,,
3,,,,,14,,,,,
2,15,,,,,,,,,
4,,,,,1,,,,,
2,,,,,2,,,,,
2,,,,,4,,,,,
4,,,,,5,,,,,
4,,,,,6,,,,,
4,,,,,7,,,,,
2,,,,,8,,,,,
4,,,,,9,,,,,
2,,,,,10,,,,,
2,,,,,12,,,,,
4,,,,,13,,,,,
2,,,,,14,,,,,
3,16,,,,,,,,,
4,,,,1,,,,,,
4,,,,1,1,,,,,
4,,,,2,1,,,,,
4,,,,3,,,,,,
3,,,,4,,,,,,
4,,,,5,,,,,,
4,,,,5,1,,,,,
4,,,,6,1,,,,,
4,,,,7,,,,,,
4,,,,7,1,,,,,
2,17,,,,,,,,,
4,,,,1,,,,,,
4,,,,1,1,,,,,
4,,,,2,1,,,,,
4,,,,3,,,,,,
2,,,,4,,,,,,
