noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
1,2,,,0,,,,,,
1,,,1,,,,,,,
1,,,1,1,,,,,,
1,,,2,1,,,,,,
1,,,3,1,,,,,,
1,3,,,1,,,,,,
1,,,1,,,,,,,
1,,,1,1,,,,,,
1,,,2,,,,,,,
3,4,,,,,,,,,
3,,,3,,,,,,,
3,5,,,,,,,,,
3,,,3,,,,,,,
3,6,,,,,,,,,
3,,,1,,,,,,,
3,,,1,1,,,,,,
3,,,2,1,,,,,,
3,,,3,1,,,,,,
3,7,,,1,,,,,,
3,,,1,,,,,,,
3,,,1,1,,,,,,
3,,,2,,,,,,,
3,8,,,,,,,,,1
0,노래 시작,,,,,,,,,
3,12,,,,,,,,,
3,,,1,,,,,,,
3,,,1,1,,,,,,
3,,,2,1,,,,,,
3,,,3,1,,,,,,
2,13,,3,,,,,,,
2,,,3,1,,,,,,
3,14,,1,,,,,,,
3,,,1,1,,,,,,
3,,,2,1,,,,,,
3,,,3,1,,,,,,
3,15,,3,,,,,,,
3,,,3,1,,,,,,
4,16,,,,,,,,,
4,,,,3,,,,,,
4,,,,6,,,,,,
4,17,,2,1,,,,,,
4,,,3,,,,,,,
4,,,3,1,,,,,,
4,18,,1,,,,,,,
4,,,2,1,,,,,,
4,,,3,1,,,,,,
3,19,,2,1,,,,,,
3,,,3,,,,,,,
a,20,,,,,,,,,
4,,,1,,,,,,,
4,,,1,1,,,,,,
3,,,2,1,,,,,,
3,,,3,1,,,,,,
1,21,,,1,,,,,,
1,,,1,,,,,,,
1,,,1,1,,,,,,
3,,,3,,,,,,,
3,,,3,1,,,,,,
3,22,,1,,,,,,,
3,,,1,1,,,,,,
3,,,2,1,,,,,,
3,,,3,1,,,,,,
1,23,,,1,,,,,,
1,,,1,,,,,,,
1,,,1,1,,,,,,
1,,,2,1,,,,,,
6,,,3,,,,,,,
6,,,3,1,,,,,,
3,24,,,,,,,,,
2,,,,3,,,,,,
2,,,,6,,,,,,
1,25,,,1,,,,,,
1,,,1,,,,,,,
1,,,1,1,,,,,,
2,,,2,1,,,,,,
3,,,3,,,,,,,
3,,,3,1,,,,,,
2,26,,1,,,,,,,
2,,,2,1,,,,,,
2,,,3,1,,,,,,
1,27,,,1,,,,,,
1,,,1,,,,,,,
1,,,1,1,,,,,,
3,,,2,,,,,,,
3,,,2,1,,,,,,
3,,,3,,,,,,,
3,,,3,1,,,,,,
4,28,,,,,,,,,
4,,,1,,,,,,,
4,,,1,1,,,,,,
1,,,2,1,,,,,,
1,,,3,,,,,,,
7,29,,,,,,,,,
4,,,1,,,,,,,
4,,,1,1,,,,,,
1,,,2,,,,,,,
1,,,2,1,,,,,,
7,,,3,,,,,,,
7,,,3,1,,,,,,
7,30,,,,,,,,,
4,,,1,,,,,,,
4,,,1,1,,,,,,
3,,,2,1,,,,,,
3,,,3,,,,,,,
3,,,3,1,,,,,,
8,31,,,,,,,,,
8,,,,1,,,,,,
8,,,,2,,,,,,
8,,,,3,,,,,,
3,,,,4,,,,,,
8,,,,5,,,,,,
8,,,,6,,,,,,
3,,,,7,,,,,,
4,32,,,,,,,,,
4,,,1,,,,,,,
4,,,1,1,,,,,,
3,,,,,15,,,,,
3,,,,,15,1,,,,
a,33,,,,,,,,,
4,,,1,,,,,,,
4,,,1,1,,,,,,
3,,,2,,,,,,,
4,,,3,,,,,,,
a,,,3,1,,,,,,
a,34,,,,,,,,,
a,,,1,,,,,,,
a,,,1,1,,,,,,
3,,,2,1,,,,,,
3,,,3,1,,,,,,
3,35,,,,,,,,,
2,,,,,1,,,,,
2,,,,,2,,,,,
2,,,,,3,,,,,
3,,,,,4,,,,,
2,,,,,5,,,,,
2,,,,,6,,,,,
2,,,,,7,,,,,
3,,,,,8,,,,,
2,,,,,9,,,,,
2,,,,,10,,,,,
2,,,,,11,,,,,
3,,,,,12,,,,,
2,,,,,13,,,,,
2,,,,,14,,,,,
2,,,,,15,,,,,
a,36,,,,,,,,,
a,,,,3,,,,,,
8,37,,,,,,,,,
8,,,,3,,,,,,
8,,,,6,,,,,,
a,38,,,,,,,,,
a,,,,3,,,,,,
3,,,3,,,,,,,
3,,,3,1,,,,,,
3,39,,,,,,,,,
2,,,,1,,,,,,
3,,,1,,,,,,,
2,,,1,1,,,,,,
3,,,2,,,,,,,
2,,,2,1,,,,,,
3,,,3,,,,,,,
2,,,3,1,,,,,,
4,40,,1,,,,,,-1,
4,,,1,,,,,,,
4,,,2,,,,,,,
4,,,3,,,,,,,
4,41,,,1,,,,,,
4,,,1,,,-1,,,,
4,,,1,,,,,,,
3,,,1,,3,,,,,
4,,,2,,,,,,,
3,,,2,1,,,,,,
4,,,3,,,,,,,
3,,,3,1,,,,,,
