noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
2,2,,0,,,,,,,
2,,,1,,,,,,,
3,3,,0,,,,,,,
3,,,1,,,,,,,
3,4,,0,,,,,,,
3,,,2,,,,,,,
2,5,,,,,,,,,
2,,,2,,,,,,,
1,6,,,,,,,,,
2,7,,2,,,,,,,
2,,,3,,,,,,,
3,8,,,,,,,,,
3,,,2,,,,,,,
4,9,,,,,,,,,
4,,,2,,,,,,,
4,10,,,,,,,,,
3,11,,,,,,,,,
3,,,1,,,,,,,
3,,,2,,,,,,,
3,,,3,,,,,,,
2,12,,,,,,,,,
2,,,1,,,,,,,
2,,,2,,,,,,,
2,,,3,,,,,,,
3,,,3,1,,,,,,
2,13,,,,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
2,,,,4,,,,,,
2,,,,6,,,,,,
2,14,,,,,,,,,
2,,,2,,,,,,,
1,15,,,,,,,,,
1,,,2,,,,,,,
3,16,,,,,,,,,
3,,,2,,,,,,,
3,,,3,,,,,,,
3,17,,,,,,,,,
3,,,,4,,,,,,
3,,,,5,,,,,,
3,,,,6,,,,,,
3,,,,7,,,,,,
4,18,,,,,,,,,
4,,,2,,,,,,,
4,,,3,,,,,,,
4,,,3,1,,,,,,
4,19,,,,,,,,,
4,20,,,,,,,,,
4,,,2,,,,,,,
3,21,,,,,,,,,
3,,,2,,,,,,,
2,22,,,,,,,,,
2,,,2,,,,,,,
3,23,,,,,,,,,
3,,,,1,,,,,,
3,,,,2,,,,,,
3,,,,3,,,,,,
3,,,,4,,,,,,
3,,,,6,,,,,,
4,24,,,,,,,,,
4,,,1,,,,,,,
4,,,2,,,,,,,
4,,,3,,,,,,,
3,25,,,,,,,,,
3,,,,1,,,,,,
3,,,,2,,,,,,
3,,,,3,,,,,,
3,,,,4,,,,,,
3,,,,6,,,,,,
2,26,,,,,,,,,
2,,,2,,,,,,,
1,27,,,,,,,,,
1,,,2,,,,,,,
2,28,,,,,,,,,
2,,,2,,,,,,,
2,,,3,,,,,,,
1,29,,,,,,,,,
3,30,,,,,,,,,
3,,,2,,,,,,,
3,,,3,,,,,,,
3,,,3,1,,,,,,
4,31,,,,,,,,,
4,32,,,,,,,,,
