noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
a,2,,,0,,,,,,24
3,,,,1,,,,,,24
4,,,,2,,,,,,24
3,,,,3,,,,,,24
4,,,,4,,,,,,24
3,,,,5,,,,,,24
4,,,,6,,,,,,24
3,,,,7,,,,,,24
4,,,,8,,,,,,24
8,4,,,0,,,,,,24
2,,,,1,,,,,,24
3,,,,2,,,,,,24
2,,,,3,,,,,,24
3,,,,4,,,,,,24
2,,,,5,,,,,,24
3,,,,6,,,,,,24
2,,,,7,,,,,,24
8,,,,8,,,,,,24
5,6,,,0,,,,,,24
1,,,,1,,,,,,24
2,,,,2,,,,,,24
1,,,,3,,,,,,24
2,,,,4,,,,,,24
1,,,,5,,,,,,24
2,,,,6,,,,,,24
1,,,,7,,,,,,24
2,7,,,,,,,,,24
1,,,,1,,,,,,24
1,,,,2,,,,,,24
1,,,,3,,,,,,24
1,,,,4,,,,,,24
1,,,,5,,,,,,24
1,,,,6,,,,,,24
1,,,,7,,,,,,24
0,시작,,,,,,,,,24
1,8,,,0,,,,,,24
1,,,,2,1,,,,,24
2,,,,4,,,,,,24
2,,,,4,1,,,,,24
2,,,,6,1,,,,,24
2,,,,7,1,,,,,24
3,9,,,,0,,,,,24
3,,,,,1,,,,,24
3,,,,,2,,,,,24
3,,,,,3,,,,,24
4,,,,,4,,,,,24
4,,,,,5,,,,,24
4,,,,,6,,,,,24
4,,,,,7,,,,,24
3,,,,,8,,,,,24
3,,,,,9,,,,,24
3,,,,,10,,,,,24
3,,,,,11,,,,,24
4,,,,,12,,,,,24
4,,,,,13,,,,,24
4,,,,,14,,,,,24
4,,,,,15,,,,,24
2,10,,,0,,,,,,24
2,,,,2,1,,,,,24
3,,,,4,,,,,,24
3,,,,4,1,,,,,24
3,,,,6,1,,,,,24
3,,,,7,1,,,,,24
4,11,,,0,,,,,,24
4,,,,1,,2,,,,24
4,,,,1,,3,,,,24
4,,,,2,,,,,,24
2,,,,,8,,,,,24
2,,,,,9,,,,,24
3,,,,,10,,,,,24
2,,,,,11,,,,,24
2,,,,,12,,,,,24
2,,,,,13,,,,,24
3,,,,,14,,,,,24
2,,,,,15,,,,,24
a,12,,,,,,,,,24
4,,,,,12,,,,,24
4,,,,,13,,,,,24
4,,,,,14,,,,,24
4,,,,,15,,,,,24
e,13,,,,,,,,,24
a,,1,,,,,,,,24
a,14,,,0,,,,,,24
4,,,,1,,,,,,24
4,,,,2,,,,,,24
3,,,,2,1,,,,,24
4,,,,3,,,,,,24
a,,,,4,,,,,,24
3,,,,4,1,,,,,24
4,,,,5,,,,,,24
4,,,,6,,,,,,24
3,,,,6,1,,,,,24
4,,,,7,,,,,,24
3,,,,7,1,,,,,24
8,15,,,0,,,,,,24
3,,,,1,,,,,,24
3,,,,1,,2,,,,24
3,,,,1,,3,,,,24
3,,,,2,,,,,,24
8,,,,4,,,,,,24
2,,,,4,1,,,,,24
3,,,,5,,,,,,24
2,,,,5,1,,,,,24
8,,,,6,,,,,,24
2,,,,6,1,,,,,24
8,,,,7,,,,,,24
2,,,,7,1,,,,,24
0,티어 멜로디 시작,,,,,,,,,24
5,16,,,,,0,,,,24
2,,,,,,3,,,,24
4,,,,,2,,,,,24
4,,,,,3,,,,,24
3,,,,,4,,,,,24
3,,,,,5,,,,,24
5,,,,,7,,,,,24
2,,,,,9,,,,,24
3,,,,,10,,,,,24
3,,,,,11,,,,,24
4,,,,,12,,,,,24
4,,,,,13,,,,,24
4,,,,,15,,,,,24
a,17,,,,0,,,,,24
4,,,,,1,,,,,24
3,,,,,3,,,,,24
3,,,,,5,,,,,24
2,,,,,7,,,,,24
8,,,,,8,,,,,24
2,,,,,9,,,,,24
2,,,,,10,,,,,24
5,,,,,12,,,,,24
2,,,,,14,,,,,24
3,,,,,15,,,,,24
5,18,,,,0,,,,,24
1,,,,,3,,,,,24
5,,,,,4,,,,,24
1,,,,,7,,,,,24
5,,,,4,,,,,,24
2,,,,5,,,,,,24
3,,,,6,,,,,,24
3,,,,7,,,,,,24
a,19,,,,0,,,,,24
3,,,,,3,,,,,24
a,,,,,4,,,,,24
3,,,,,7,,,,,24
a,,,,4,,,,,,24
2,,,,5,,,,,,24
2,,,,6,,,,,,24
2,,,,7,,,,,,24
b,20,,,,,,,,,24
2,,,,,12,,,,,24
2,,,,,13,,,,,24
2,,,,,14,,,,,24
2,,,,,15,,,,,24
e,21,,,0,,,,,,24
8,,,,2,1,,,,,24
a,,,,4,,,,,,24
4,,,,4,1,,,,,24
3,,,,6,1,,,,,24
3,,,,7,1,,,,,24
2,22,,,0,,,,,,24
a,,,,2,1,,,,,24
3,,,,4,,,,,,24
3,,,,4,1,,,,,24
2,,,,6,1,,,,,24
2,,,,7,1,,,,,24
2,23,,,0,,,,,,24
1,,,,1,,,,,,24
2,,,,2,,,,,,24
1,,,,3,,,,,,24
2,,,,4,,,,,,24
1,,,,5,,,,,,24
2,,,,6,,,,,,24
1,,,,7,,,,,,24
0,변조구간,,,,,,,,,24
3,24,,,,2,,,,,24
3,,,,,5,,,,,24
3,,,,,7,,,,,24
3,,,,,9,,,,,24
3,,,,,14,,,,,24
3,25,,,,0,,,,,24
2,,,,,3,,,,,24
3,,,,,6,,,,,24
2,,,,,9,,,,,24
2,,,,,11,,,,,24
2,,,,,12,,,,,24
2,,,,,14,,,,,24
2,26,,,,0,,,,,24
2,,,,,3,,,,,24
2,,,,,5,,,,,24
2,,,,,7,,,,,24
2,,,,,8,,,,,24
3,,,,,11,,,,,24
3,,,,,14,,,,,24
3,27,,,,0,,,,,24
4,,,,,3,,,,,24
3,,,,,6,,,,,24
4,,,,,9,,,,,24
4,,,,,11,,,,,24
4,,,,,12,,,,,24
4,,,,,14,,,,,24
3,28,,,,0,,,,,24
3,,,,,2,,,,,24
3,,,,,3,,,,,24
3,,,,,5,,,,,24
3,,,,,6,,,,,24
3,,,,,7,,,,,24
2,,,,,14,,,,,24
2,29,,,,0,,,,,24
2,,,,,3,,,,,24
2,,,,,6,,,,,24
2,,,,,9,,,,,24
3,,,,,11,,,,,24
3,,,,,12,,,,,24
3,,,,,14,,,,,24
3,,,,,15,,,,,24
4,30,,,,0,,,,,24
4,,,,,2,,,,,24
4,,,,,3,,,,,24
4,,,,,5,,,,,24
4,,,,,7,,,,,24
