noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
2,3,,,0,,,,,,
3,,,,1,,,,,,
3,,,,3,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
2,4,,,0,,,,,,
3,,,,1,,,,,,
3,,,,3,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
2,5,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
2,,,,4,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
2,6,,,0,,,,,,
3,,,,1,,,,,,
3,,,,3,,,,,,
3,,,,5,,,,,,
3,,,,7,,,,,,
2,7,,,0,,,,,,
3,,,,1,,,,,,
3,,,,3,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
2,8,,,0,,,,,,
3,,,,1,,,,,,
3,,,,3,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
2,9,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
2,,,,4,,,,,,
a,,,,6,,,,,,
3,10,,,0,,,,,,
4,,,,1,,,,,,
4,,,,3,,,,,,
3,,,,4,,,,,,
4,,,,5,,,,,,
4,,,,7,,,,,,
3,11,,,0,,,,,,
4,,,,1,,,,,,
3,,,,2,,,,,,
4,,,,3,,,,,,
3,,,,4,,,,,,
4,,,,5,,,,,,
4,,,,7,,,,,,
3,12,,,0,,,,,,
4,,,,1,,,,,,
4,,,,3,,,,,,
3,,,,4,,,,,,
4,,,,5,,,,,,
3,,,,6,,,,,,
4,,,,7,,,,,,
3,13,,,0,,,,,,
4,,,,1,,,,,,
3,,,,2,,,,,,
4,,,,3,,,,,,
3,,,,4,,,,,,
4,,,,5,,,,,,
3,,,,6,,,,,,
4,,,,7,,,,,,
2,14,,,0,,,,,,
4,,,,1,,,,,,
4,,,,3,,,,,,
2,,,,4,,,,,,
4,,,,5,,,,,,
4,,,,7,,,,,,
2,15,,,0,,,,,,
4,,,,1,,,,,,
2,,,,2,,,,,,
4,,,,3,,,,,,
2,,,,4,,,,,,
4,,,,5,,,,,,
2,,,,6,,,,,,
2,16,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
2,,,,4,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
2,17,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
2,,,,4,,,,,,
2,,,,6,,,,,,
3,18,,,0,,,,,,
3,,,,1,,,,,,
3,,,,2,,,,,,
3,,,,3,,,,,,
3,,,,4,,,,,,
3,,,,5,,,,,,
3,,,,6,,,,,,
3,,,,7,,,,,,
3,19,,,0,,,,,,
4,,,,1,,,,,,
4,,,,3,,,,,,
4,,,,5,,,,,,
3,,,,6,,,,,,
4,,,,7,,,,,,
3,20,,,0,,,,,,
3,,,,1,,,,,,
3,,,,2,,,,,,
3,,,,3,,,,,,
3,,,,4,,,,,,
3,,,,5,,,,,,
3,,,,6,,,,,,
3,,,,7,,,,,,
3,21,,,0,,,,,,
4,,,,1,,,,,,
4,,,,3,,,,,,
4,,,,5,,,,,,
3,,,,6,,,,,,
4,,,,7,,,,,,
2,22,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
2,,,,4,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
2,23,,,0,,,,,,
3,,,,1,,,,,,
3,,,,3,,,,,,
2,,,,4,,,,,,
3,,,,5,,,,,,
3,,,,7,,,,,,
2,24,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
2,,,,4,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
2,25,,,0,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
2,,,,4,,,,,,
2,,,,6,,,,,,
0,레이저파트,,,,,,,,,
5,26,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
5,,,,4,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
8,,,,7,,,,,,
3,27,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
5,,,,4,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
8,28,,,0,,,,,,
4,,,,1,,,,,,
3,,,,2,,,,,,
4,,,,3,,,,,,
8,,,,4,,,,,,
4,,,,5,,,,,,
3,,,,6,,,,,,
a,,,,7,,,,,,
4,29,,,1,,,,,,
3,,,,2,,,,,,
4,,,,3,,,,,,
8,,,,4,,,,,,
2,,,,6,,,,,,
5,30,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
5,,,,4,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
5,31,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
5,,,,4,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
8,32,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
8,,,,4,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
8,33,,,0,,,,,,
4,,,,1,,,,,,
3,,,,2,,,,,,
4,,,,3,,,,,,
8,,,,4,,,,,,
4,,,,5,,,,,,
3,,,,6,,,,,,
4,,,,7,,,,,,
5,34,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
5,,,,4,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
8,,,,7,,,,,,
3,35,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
5,,,,4,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
8,36,,,0,,,,,,
4,,,,1,,,,,,
3,,,,2,,,,,,
4,,,,3,,,,,,
8,,,,4,,,,,,
4,,,,5,,,,,,
3,,,,6,,,,,,
a,,,,7,,,,,,
4,37,,,1,,,,,,
3,,,,2,,,,,,
4,,,,3,,,,,,
8,,,,4,,,,,,
2,,,,6,,,,,,
8,38,,,0,,,,,,
4,,,,1,,,,,,
2,,,,2,,,,,,
4,,,,3,,,,,,
8,,,,4,,,,,,
4,,,,5,,,,,,
2,,,,6,,,,,,
4,,,,7,,,,,,
8,39,,,0,,,,,,
4,,,,1,,,,,,
3,,,,2,,,,,,
4,,,,3,,,,,,
8,,,,4,,,,,,
3,,,,6,,,,,,
4,,,,7,,,,,,
a,40,,,0,,,,,,
4,,,,1,,,,,,
3,,,,2,,,,,,
4,,,,3,,,,,,
a,,,,4,,,,,,
4,,,,5,,,,,,
3,,,,6,,,,,,
4,,,,7,,,,,,
a,41,,,0,,,,,,
4,,,,1,,,,,,
3,,,,2,,,,,,
4,,,,3,,,,,,
a,,,,4,,,,,,
0,복귀,,,,,,,,,
8,42,,,0,,,,,,
a,,,,1,,,,,,
8,,,,2,,,,,,
a,,,,3,,,,,,
8,,,,4,,,,,,
a,,,,5,,,,,,
8,,,,6,,,,,,
a,,,,7,,,,,,
8,43,,,0,,,,,,
5,,,,1,,,,,,
8,,,,2,,,,,,
5,,,,3,,,,,,
8,,,,4,,,,,,
e,,,,6,,,,,,
5,44,,,0,,,,,,
3,,,,1,,,,,,
3,,,,3,,,,,,
3,,,,5,,,,,,
5,,,,6,,,,,,
3,,,,7,,,,,,
5,45,,,0,,,,,,
3,,,,1,,,,,,
3,,,,3,,,,,,
3,,,,5,,,,,,
5,,,,6,,,,,,
3,,,,7,,,,,,
5,46,,,0,,,,,,
3,,,,1,,,,,,
3,,,,3,,,,,,
3,,,,5,,,,,,
5,,,,6,,,,,,
3,,,,7,,,,,,
5,47,,,0,,,,,,
3,,,,1,,,,,,
5,,,,2,,,,,,
3,,,,3,,,,,,
5,,,,4,,,,,,
3,,,,5,,,,,,
5,,,,6,,,,,,
3,,,,7,,,,,,
2,48,,,0,,,,,,
a,,,,1,,,,,,
a,,,,3,,,,,,
a,,,,5,,,,,,
2,,,,6,,,,,,
a,,,,7,,,,,,
2,49,,,0,,,,,,
a,,,,1,,,,,,
a,,,,3,,,,,,
a,,,,5,,,,,,
2,,,,6,,,,,,
a,,,,7,,,,,,
2,50,,,0,,,,,,
a,,,,1,,,,,,
a,,,,3,,,,,,
a,,,,5,,,,,,
2,,,,6,,,,,,
a,,,,7,,,,,,
2,51,,,0,,,,,,
a,,,,1,,,,,,
2,,,,2,,,,,,
a,,,,3,,,,,,
2,,,,4,,,,,,
5,,,,6,,,,,,
8,52,,,0,,,,,,
4,,,,1,,,,,,
4,,,,3,,,,,,
8,,,,4,,,,,,
4,,,,5,,,,,,
4,,,,7,,,,,,
8,53,,,0,,,,,,
4,,,,1,,,,,,
8,,,,2,,,,,,
4,,,,3,,,,,,
8,,,,4,,,,,,
4,,,,5,,,,,,
4,,,,7,,,,,,
8,54,,,0,,,,,,
4,,,,1,,,,,,
4,,,,3,,,,,,
8,,,,4,,,,,,
4,,,,5,,,,,,
8,,,,6,,,,,,
4,,,,7,,,,,,
8,55,,,0,,,,,,
4,,,,1,,,,,,
8,,,,2,,,,,,
4,,,,3,,,,,,
8,,,,4,,,,,,
4,,,,5,,,,,,
8,,,,6,,,,,,
4,,,,7,,,,,,
2,56,,,0,,,,,,
a,,,,1,,,,,,
a,,,,3,,,,,,
2,,,,4,,,,,,
a,,,,5,,,,,,
a,,,,7,,,,,,
2,57,,,0,,,,,,
a,,,,1,,,,,,
2,,,,2,,,,,,
a,,,,3,,,,,,
2,,,,4,,,,,,
a,,,,5,,,,,,
2,,,,6,,,,,,
2,58,,,0,,,,,,
a,,,,1,,,,,,
2,,,,2,,,,,,
a,,,,3,,,,,,
2,,,,4,,,,,,
a,,,,5,,,,,,
2,,,,6,,,,,,
a,,,,7,,,,,,
