noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
1,3,,0,,,,,,,
1,,,1,,,,,,,
1,,,2,,,,,,,
1,,,3,,,,,,,
3,,,3,1,,,,,,
1,4,,0,,,,,,,
3,,,0,1,,,,,,
1,,,1,,,,,,,
1,,,2,,,,,,,
1,,,3,,,,,,,
1,5,,0,,,,,,,
2,,,1,,,,,,,
2,,,2,,,,,,,
2,,,3,,,,,,,
4,,,3,1,,,,,,
2,6,,0,,,,,,,
4,,,0,1,,,,,,
2,,,1,,,,,,,
2,,,2,,,,,,,
2,,,3,,,,,,,
2,7,,0,,,,,,,
3,,,1,,,,,,,
3,,,2,,,,,,,
3,,,3,,,,,,,
4,,,3,1,,,,,,
3,8,,0,,,,,,,
4,,,0,1,,,,,,
3,,,1,,,,,,,
3,,,2,,,,,,,
3,,,3,,,,,,,
0,쾅,,,,,,,,,
7,9,,0,,,,,,,
8,,,1,,,,,,,
2,,,2,,,,,,,
8,,,3,,,,,,,
4,,,3,1,,,,,,
2,10,,0,,,,,,,
4,,,0,1,,,,,,
8,,,1,,,,,,,
2,,,2,,,,,,,
8,,,3,,,,,,,
3,11,,0,,,,,,,
8,,,1,,,,,,,
3,,,2,,,,,,,
8,,,3,,,,,,,
4,,,3,1,,,,,,
3,12,,0,,,,,,,
4,,,0,1,,,,,,
8,,,1,,,,,,,
3,,,2,,,,,,,
8,,,3,,,,,,,
7,13,,0,,,,,,,
8,,,1,,,,,,,
3,,,2,,,,,,,
8,,,3,,,,,,,
2,,,3,1,,,,,,
4,14,,0,,,,,,,
2,,,0,1,,,,,,
8,,,1,,,,,,,
4,,,2,,,,,,,
8,,,3,,,,,,,
4,15,,0,,,,,,,
a,,,1,,,,,,,
4,,,2,,,,,,,
a,,,3,,,,,,,
2,,,3,1,,,,,,
4,16,,0,,,,,,,
2,,,0,1,,,,,,
a,,,1,,,,,,,
4,,,2,,,,,,,
a,,,3,,,,,,,
e,17,,0,,,,,,,
4,19,0,,,,,,,,
3,,1,,,,,,,,
2,20,0,,,,,,,,
1,,1,,,,,,,,
0,1차 전개,,,,,,,,,
5,21,,,,0,,,,,
2,,,,,2,,,,,
2,,,,,3,,,,,
2,,,,,4,,,,,
2,,,,,6,,,,,
2,,,,,9,,,,,
2,,,,,12,,,,,
6,22,,,,0,,,,,
3,,,,,2,,,,,
3,,,,,3,,,,,
3,,,,,4,,,,,
3,,,,,6,,,,,
3,,,,,9,,,,,
3,,,,,12,,,,,
9,23,,,,0,,,,,
4,,,,,1,,,,,
4,,,,,2,,,,,
4,,,,,3,,,,,
4,,,,,6,,,,,
4,,,,,9,,,,,
4,,,,,12,,,,,
a,24,0,,,,,,,,
8,,1,,,,,,,,
2,,1,1,,,,,,,
5,25,,,,0,,,,,
1,,,,,3,,,,,
1,,,,,6,,,,,
1,,,,,9,,,,,
1,,,,,12,,,,,
9,26,,,,0,,,,,
4,,,,,3,,,,,
4,,,,,6,,,,,
4,,,,,9,,,,,
4,,,,,12,,,,,
8,27,,,,0,,,,,
3,,,,,3,,,,,
3,,,,,6,,,,,
3,,,,,9,,,,,
3,,,,,12,,,,,
3,28,,,,0,,,,,
3,,,,,3,,,,,
3,,,,,6,,,,,
6,,,,,8,,,,,
3,,,,,11,,,,,
3,,,,,14,,,,,
5,29,,,,0,,,,,
2,,,,,3,,,,,
2,,,,,6,,,,,
2,,,,,9,,,,,
2,,,,,12,,,,,
8,30,,,,0,,,,,
3,,,,,3,,,,,
3,,,,,6,,,,,
3,,,,,9,,,,,
3,,,,,12,,,,,
8,31,,,,0,,,,,
3,,,,,3,,,,,
3,,,,,6,,,,,
