noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
2,3,,,,,,,,,
2,,1,,,,,,,,
2,,,,,15,,,,,
2,4,,,,,,,,,
3,5,,,,,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
3,6,,,,,,,,,
4,,,,,14,,,,,
4,,,,,15,,,,,
4,7,,,,,,,,,
4,,1,,,,,,,,
3,8,,,,,,,,,
3,,,,,12,,,,,
3,,,,,13,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
6,9,,,,,,,,,
2,,,,,14,,,,,
2,,,,,15,,,,,
2,10,,,,,,,,,
1,,,,6,,,,,,
1,,,,7,,,,,,
1,11,,,,,,,,,
2,,1,,,,,,,,
3,,,,,15,,,,,
3,12,,,,,,,,,
3,13,,,,,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
3,14,,,,,,,,,
4,,,,,14,,,,,
4,,,,,15,,,,,
4,15,,,,,,,,,
4,,1,,,,,,,,
2,16,,,,15,,,,,
5,17,,,,,,,,,
0,빌드,,,,,,,,,
5,19,,0,,,,,,,
2,,,3,,,,,,,
8,20,,0,,,,,,,
3,,,3,,,,,,,
a,21,,0,,,,,,,
1,23,,,,,,,,,
5,,,3,,,,,,,
2,24,,,,,,,,,
3,,,3,,,,,,,
8,25,,,,,,,,,
2,26,,,,,,,,,
5,27,,0,,,,,,,
2,,,3,,,,,,,
8,28,,0,,,,,,,
3,,,3,,,,,,,
a,29,,0,,,,,,,
1,31,,,,,,,,,
5,,,3,,,,,,,
2,32,,,,,,,,,
3,,,3,,,,,,,
4,33,,,,,,,,,
4,34,,,,,,,,,
0,빌드2,,,,,,,,,
7,35,,,0,,,,,,
1,,,,2,,,,,,
1,,,,4,,,,,,
1,,,,6,,,,,,
2,,,,7,,,,,,
1,36,,,0,,,,,,
3,,,,1,,,,,,
1,,,,2,,,,,,
3,,,,3,,,,,,
1,,,,4,,,,,,
3,,,,5,,,,,,
1,,,,6,,,,,,
3,,,,7,,,,,,
2,37,,,0,,,,,,
3,,,,1,,,,,,
2,,,,2,,,,,,
3,,,,3,,,,,,
2,,,,4,,,,,,
3,,,,5,,,,,,
2,,,,6,,,,,,
3,,,,7,,,,,,
2,38,,,0,,,,,,
4,,,,2,,,,,,
2,,,,4,,,,,,
4,,,,6,,,,,,
2,,,,,15,,,,,
5,39,,,0,,,,,,
5,,,,2,,,,,,
5,,,,4,,,,,,
5,,,,6,,,,,,
2,,,,,15,,,,,
5,40,,,0,,,,,,
5,,,,2,,,,,,
2,,,,,7,,,,,
5,,,,4,,,,,,
5,,,,6,,,,,,
2,,,,,15,,,,,
8,41,,,0,,,,,,
8,,,,2,,,,,,
8,,,,4,,,,,,
8,,,,6,,,,,,
3,,,,,15,,,,,
8,42,,,0,,,,,,
2,,,,,13,,,,,
2,,,,,14,,,,,
2,,,,,15,,,,,
0,하이라이트,,,,,,,,,
5,43,,0,,,,,,,
5,,,1,,,,,,,
2,,,1,,3,,,,,
8,,,2,,,,,,,
3,,,2,1,,,,,,
8,,,3,,,,,,,
a,44,,0,,,,,,,
3,,,,1,,,,,,
a,,,1,,,,,,,
8,,,2,,,,,,,
2,,,2,1,,,,,,
2,,,3,,,,,,,
2,,,3,1,,,,,,
5,45,,0,,,,,,,
5,,,1,,,,,,,
2,,,1,,3,,,,,
8,,,2,,,,,,,
3,,,2,1,,,,,,
3,,,3,,,,,,,
3,,,3,1,,,,,,
a,46,,0,,,,,,,
a,,,1,,,,,,,
4,,,1,,3,,,,,
8,,,2,,,,,,,
3,,,3,,,,,,,
5,47,,0,,,,,,,
