noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
2,2,,,0,,,,,,
2,,,,1,,,,,,
2,,,,2,,,,,,
2,,,,3,,,,,,
2,,,,4,,,,,,
2,,,,4,3,,,,,
2,,,,4,6,,,,,
2,3,,,,,,,,,
2,,,,,3,,,,,
2,,,,,6,,,,,
2,,,,4,,,,,,
3,4,,,0,,,,,,
3,,,,1,,,,,,
3,,,,2,,,,,,
3,,,,3,,,,,,
3,,,,4,,,,,,
3,,,,5,1,,,,,
3,5,,,0,,,,,,
3,,,,1,1,,,,,
3,,,,4,,,,,,
3,,,,5,1,,,,,
4,6,,,0,,,,,,
4,,,,1,,,,,,
4,,,,2,,,,,,
4,,,,3,,,,,,
4,,,,4,,,,,,
4,,,,4,3,,,,,
4,,,,4,6,,,,,
4,7,,,0,,,,,,
4,,,,0,3,,,,,
4,,,,0,6,,,,,
4,,,,4,,,,,,
3,,,,,10,,,,,
4,,,,,11,,,,,
3,,,,,12,,,,,
4,,,,,13,,,,,
3,,,,,14,,,,,
4,,,,,15,,,,,
4,8,,0,,,,,,,
a,,,1,,,,,,,
4,,,2,,,,,,,
3,,,2,1,,,,,,
9,,,3,,,,,,,
3,,,3,1,,,,,,
4,9,,,,,,,,,
a,,,1,,,,,,,
2,,,2,,,,,,,
a,,,3,,,,,,,
3,10,,,0,,,,,,
2,,,,1,,,,,,
a,,,,2,,,,,,
3,,,,3,,,,,,
3,,,,4,,,,,,
a,,,,6,,,,,,
3,,,,7,,,,,,
9,11,,,,,,,,,
a,,,1,,,,,,,
4,,,2,,,,,,,
a,,,3,,,,,,,
4,,,3,,1,,,,,
3,,,3,,2,,,,,
4,,,3,,3,,,,,
2,12,,,,,,,,,
9,,,1,,,,,,,
3,,,2,,,,,,,
3,,,2,1,,,,,,
9,,,3,,,,,,,
3,,,3,1,,,,,,
a,13,,,,,,,,,
8,,,1,,,,,,,
4,,,2,,,,,,,
8,,,3,,,,,,,
3,,,3,1,,,,,,
e,14,,,,,,,,,
3,,,,1,,,,,,
3,,,,2,,,,,,
a,,,3,,,,,,,
3,,,3,,1,,,,,
3,,,3,,2,,,,,
e,15,,,0,,,,,,
4,,,,1,,,,,,
4,,,,2,,,,,,
4,,,,3,,,,,,
4,,,,4,,,,,,
1,16,,,,,,,,,
a,17,,3,,,,,,,
3,,,3,,2,,,,,
