noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
3,3,,3,,,,,,,
1,3,,,7,,,,,,
2,4,,,7,,,,,,
3,5,,,7,,,,,,
4,6,,,7,,,,,,
8,8,,3,,,,,,,
0,시작,,,,,,,,,
2,9,,0,,,,,,,
2,,,1,,,,,,,
3,,,2,,,,,,,
3,,,3,,,,,,,
1,10,,0,,,,,,,
1,,,1,,,,,,,
1,,,2,,,,,,,
1,,,3,,,,,,,
2,11,,0,,,,,,,
2,,,1,,,,,,,
3,,,2,,,,,,,
3,,,3,,,,,,,
1,12,,0,,,,,,,
1,,,1,,,,,,,
1,,,2,,,,,,,
1,,,3,,,,,,,
2,,,,7,,,,,,
2,13,,0,,,,,,,
3,,,1,,,,,,,
2,,,2,,,,,,,
3,,,3,,,,,,,
2,14,,0,,,,,,,
1,,,1,,,,,,,
2,,,2,,,,,,,
1,,,3,,,,,,,
2,15,,0,,,,,,,
3,,,1,,,,,,,
2,,,2,,,,,,,
3,,,3,,,,,,,
2,16,,0,,,,,,,
1,,,1,,,,,,,
2,,,2,,,,,,,
1,,,3,,,,,,,
1,17,,0,,,,,,,
3,,,1,,,,,,,
1,,,2,,,,,,,
3,,,3,,,,,,,
1,18,,0,,,,,,,
3,,,1,,,,,,,
1,,,2,,,,,,,
3,,,3,,,,,,,
2,19,,0,,,,,,,
4,,,1,,,,,,,
2,,,2,,,,,,,
4,,,3,,,,,,,
3,20,,0,,,,,,,
4,,,1,,,,,,,
3,,,2,,,,,,,
4,,,3,,,,,,,
4,,,,7,,,,,,
3,21,,0,,,,,,,
2,,,1,,,,,,,
3,,,2,,,,,,,
2,,,3,,,,,,,
3,22,,0,,,,,,,
1,,,1,,,,,,,
3,,,2,,,,,,,
1,,,3,,,,,,,
4,23,,0,,,,,,,
1,,,1,,,,,,,
4,,,2,,,,,,,
1,,,3,,,,,,,
4,24,,0,,,,,,,
1,,,1,,,,,,,
4,,,2,,,,,,,
a,,,3,,,,,,,
0,그로울 구간,,,,,,,,,
2,25,,0,,,,,,,
2,,,1,,,,,,,
2,,,1,1,,,,,,
2,,,2,,,,,,,
2,,,2,1,,,,,,
2,,,3,,,,,,,
2,,,3,1,,,,,,
2,26,,,1,,,,,,
2,,,1,,,,,,,
2,,,1,1,,,,,,
2,,,2,,,,,,,
2,,,2,1,,,,,,
2,,,3,,,,,,,
2,,,3,1,,,,,,
1,27,,1,,,,,,,
1,,,2,,,,,,,
1,,,3,,,,,,,
3,28,,0,,,,,,,
3,,,1,,,,,,,
3,,,2,,,,,,,
3,,,3,,,,,,,
3,29,,0,,,,,,,
3,,,1,0,,,,,,
3,,,1,1,,,,,,
3,,,2,,,,,,,
3,,,2,1,,,,,,
3,,,3,,,,,,,
3,,,3,1,,,,,,
3,30,,0,1,,,,,,
3,,,1,,,,,,,
3,,,1,1,,,,,,
