noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
4,2,,,,,,,,,
0,,,,,,,,,,1
3,,,,,,,,,,2
4,,,,,,,,,,3
0,,,,,,,,,,4
3,,,,,,,,,,5
a,,,,,,,,,,6
0,,,,,,,,,,7
3,,,,,,,,,,8
4,,,,,,,,,,9
0,,,,,,,,,,10
3,,,,,,,,,,11
4,,,,,,,,,,12
0,,,,,,,,,,13
3,,,,,,,,,,14
4,,,,,,,,,,15
0,,,,,,,,,,16
3,,,,,,,,,,17
a,,,,,,,,,,18
0,,,,,,,,,,19
3,,,,,,,,,,20
4,,,,,,,,,,21
0,,,,,,,,,,22
3,,,,,,,,,,23
4,3,,,,,,,,,
3,,,,,,,,,,3
4,,,,,,,,,,5
a,,,,,,,,,,6
4,,,,,,,,,,7
4,,,,,,,,,,8
3,,,,,,,,,,9
4,,,,,,,,,,11
3,,,,,,,,,,12
4,,,,,,,,,,14
3,,,,,,,,,,15
4,,,,,,,,,,17
a,,,,,,,,,,18
3,4,,,,,,,,,
2,,,,,,,,,,2
3,,,,,,,,,,3
2,,,,,,,,,,5
a,,,,,,,,,,6
2,,,,,,,,,,8
3,,,,,,,,,,9
2,,,,,,,,,,11
3,,,,,,,,,,12
2,,,,,,,,,,14
3,,,,,,,,,,15
2,,,,,,,,,,17
a,,,,,,,,,,18
2,,,,,,,,,,21
3,,,,,,,,,,23
4,5,,,,,,,,,
3,,,,,,,,,,2
4,,,,,,,,,,3
3,,,,,,,,,,5
a,,,,,,,,,,6
4,,,,,,,,,,8
3,,,,,,,,,,9
4,,,,,,,,,,11
3,,,,,,,,,,12
4,,,,,,,,,,14
3,,,,,,,,,,15
4,,,,,,,,,,17
a,,,,,,,,,,18
2,,,,,,,,,,21
2,,,,,,,,,,23
3,6,,,,,,,,,
8,,,,,,,,,,6
2,,,,,,,,,,11
3,,,,,,,,,,12
2,,,,,,,,,,14
3,,,,,,,,,,15
2,,,,,,,,,,17
8,,,,,,,,,,18
2,,,,,,,,,,20
3,,,,,,,,,,21
2,,,,,,,,,,23
3,7,,,,,,,,,
3,,,,,,,,,,3
3,,,,,,,,,,5
8,,,,,,,,,,6
2,,,,,,,,,,9
2,,,,,,,,,,11
2,,,,,,,,,,12
8,,,,,,,,,,18
2,,,,,,,,,,21
2,,,,,,,,,,23
3,8,,,,,,,,,
8,,,,,,,,,,6
3,,,,,,,,,,11
2,,,,,,,,,,12
3,,,,,,,,,,14
2,,,,,,,,,,15
3,,,,,,,,,,17
8,,,,,,,,,,18
3,,,,,,,,,,20
2,,,,,,,,,,21
3,,,,,,,,,,23
4,9,,,,,,,,,
3,,,,,,,,,,2
2,,,,,,,,,,3
3,,,,,,,,,,5
a,,,,,,,,,,6
3,,,,,,,,,,8
2,,,,,,,,,,9
3,,,,,,,,,,11
4,,,,,,,,,,12
3,,,,,,,,,,13
3,,,,,,,,,,14
2,,,,,,,,,,15
3,,,,,,,,,,16
3,,,,,,,,,,17
a,,,,,,,,,,18
4,,,,,,,,,,21
4,,,,,,,,,,22
4,,,,,,,,,,23
0,2차,,,,,,,,,
4,10,,,,,,,,,
3,,,,,,,,,,2
2,,,,,,,,,,3
3,,,,,,,,,,5
a,,,,,,,,,,6
3,,,,,,,,,,8
2,,,,,,,,,,9
3,,,,,,,,,,11
4,,,,,,,,,,12
3,,,,,,,,,,14
2,,,,,,,,,,15
3,,,,,,,,,,17
a,,,,,,,,,,18
3,,,,,,,,,,20
2,,,,,,,,,,21
3,,,,,,,,,,23
4,11,,,,,,,,,
3,,,,,,,,,,3
2,,,,,,,,,,5
8,,,,,,,,,,6
2,,,,,,,,,,7
3,,,,,,,,,,8
2,,,,,,,,,,9
3,,,,,,,,,,11
2,,,,,,,,,,12
3,,,,,,,,,,14
2,,,,,,,,,,15
3,,,,,,,,,,17
8,,,,,,,,,,18
2,12,,,,,,,,,
1,,,,,,,,,,2
