noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
2,2,,,,,,,,,
8,,,1,,,,,,,
2,,,2,,,,,,,
8,,,3,,,,,,,
a,3,,,,,,,,,
4,,,,,1,,,,,
4,,,,,2,,,,,
4,,,,,3,,,,,
4,,,,,4,,,,,
3,,,,,6,,,,,
3,,,,,7,,,,,
3,,,,,9,,,,,
3,,,,,10,,,,,
2,,,,,12,,,,,
3,,,,,14,,,,,
1,4,,,,,,,,,
a,,,,1,,,,,,
3,,,,2,1,,,,,
3,,,,3,1,,,,,
a,,,,5,,,,,,
3,,,,6,1,,,,,
3,,,,7,1,,,,,
4,5,,,,,,,,,
3,,,,1,,,,,,
a,,,,5,,,,,,
a,,,,7,,,,,,
1,6,,,,,,,,,
8,,,,1,,,,,,
2,,,,2,1,,,,,
2,,,,3,1,,,,,
8,,,,5,,,,,,
2,,,,6,1,,,,,
2,,,,7,1,,,,,
3,7,,,,,,,,,
9,,,,,2,,,,,
4,,,,,3,,,,,
4,,,,,4,,,,,
4,,,,,6,,,,,
4,,,,,7,,,,,
a,,,,,8,,,,,
4,,,,,9,,,,,
4,,,,,10,,,,,
4,,,,,11,,,,,
8,,,,,12,,,,,
4,,,,,13,,,,,
8,,,,,14,,,,,
4,,,,,15,,,,,
3,8,,,,,,,,,
3,,,,,3,,,,,
4,,,,,4,,,,,
4,,,,,6,,,,,
3,,,,,10,,,,,
3,,,,,12,,,,,
2,,,,,13,,,,,
3,,,,,14,,,,,
2,,,,,15,,,,,
3,9,,,,,,,,,
1,,,,,3,,,,,
3,,,,,6,,,,,
4,,,,,10,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
2,10,,,,,,,,,
1,,,,,3,,,,,
2,,,,,6,,,,,
2,,,,,10,,,,,
2,,,,,12,,,,,
3,,,,,13,,,,,
3,,,,,14,,,,,
2,,,,,15,,,,,
2,11,,,,,,,,,
4,,,,,3,,,,,
4,,,,,6,,,,,
3,,,,,8,,,,,
2,,,,,9,,,,,
3,,,,,10,,,,,
2,,,,,11,,,,,
3,,,,,12,,,,,
2,,,,,13,,,,,
3,,,,,14,,,,,
2,,,,,15,,,,,
1,12,,,,,,,,,
2,,,,,2,,,,,
3,,,,,3,,,,,
4,,,,,5,,,,,
4,,,,,7,,,,,
4,,,,,9,,,,,
4,,,,,11,,,,,
4,,,,,13,,,,,
3,,,,,15,,,,,
2,13,,,,,,,,,
2,,,,,2,,,,,
a,,,,5,,,,,,
a,,,,7,,,,,,
1,14,,,,,,,,,
2,,,,,2,,,,,
3,,,,,3,,,,,
1,,,,,5,,,,,
2,,,,,6,,,,,
3,,,,,7,,,,,
4,,,,,8,,,,,
2,,,,,10,,,,,
3,,,,,11,,,,,
1,,,,,13,,,,,
2,,,,,14,,,,,
3,,,,,15,,,,,
4,15,,,,,,,,,
4,,,,,2,,,,,
2,,,,,8,,,,,
2,,,,,12,,,,,
0,브레이크,,,,,,,,,
1,16,,,,,,,,,
9,,,1,,,,,,,
3,,,1,,1,,,,,
9,,,3,,,,,,,
3,,,3,,1,,,,,
1,17,,,,,,,,,
9,,,1,,,,,,,
3,,,1,,1,,,,,
9,,,3,,,,,,,
3,,,3,,1,,,,,
1,18,,,,,,,,,
3,,,,,,,,,2,
4,,,,,,,,,3,
3,,,,,,,,,4,
3,,,,,,,,,5,
4,,,,,,,,,6,
3,,,,,,,,,7,
3,,,,,,,,,8,
4,,,,,,,,,9,
3,,,,,,,,,10,
3,,,,,,,,,11,
4,19,,,,,,,,,
3,,,,,2,,,,,
3,,,,,6,,,,,
3,,,,,7,,,,,
4,,,,,8,,,,,
3,,,,,10,,,,,
4,,,,,12,,,,,
0,1차브레이크,,,,,,,,,
1,20,,,,,,,,,
9,23,,,,,,,,,
