noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
3,2,,,,,,,,,
3,,,,,3,,,,,
4,,,,5,,,,,,
4,,,,6,,,,,,
3,,,,7,,,,,,
3,3,,,,,,,,,
2,,,,,3,,,,,
2,,,,,6,,,,,
3,,,,5,,,,,,
3,,,,6,,,,,,
4,,,,7,,,,,,
4,,,,7,1,,,,,
4,4,,,,,,,,,
3,,,,,3,,,,,
3,,,,,6,,,,,
3,,,,,9,,,,,
2,,,,,12,,,,,
2,,,,,13,,,,,
1,5,,,,,,,,,
2,,,,,3,,,,,
3,,,,,5,,,,,
4,,,,,7,,,,,
4,,,,,9,,,,,
4,,,,,11,,,,,
4,,,,,12,,,,,
4,,,,,14,,,,,
4,6,,,,,,,,,
a,,,,,3,,,,,
3,,,,,9,,,,,
3,,,,,10,,,,,
2,,,,,12,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
3,7,,,,,,,,,
4,,,,,3,,,,,
4,,,,,4,,,,,
3,,,,,6,,,,,
4,,,,,7,,,,,
4,,,,,9,,,,,
4,,,,,11,,,,,
4,,,,,12,,,,,
4,,,,,13,,,,,
4,,,,,14,,,,,
4,,,,,15,,,,,
4,8,,,,,,,,,
3,,,,,4,,,,,
3,,,,,7,,,,,
3,,,,,8,,,,,
3,,,,,11,,,,,
3,,,,,12,,,,,
3,,,,,13,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
0,드럼으로 바뀜,,,,,,,,,
1,9,,,,,,,,,
4,,,,,7,,,,,
4,,,,,8,,,,,
a,,,,,12,,,,,
1,10,,,,,,,,,
4,,,,,6,,,,,
4,,,,,8,,,,,
4,,,,,10,,,,,
4,,,,,14,,,,,
1,11,,,,,,,,,
1,,,,,5,,,,,
1,,,,,6,,,,,
3,,,,,10,,,,,
a,,,,,12,,,,,
3,,,,,14,,,,,
3,12,,,,,,,,,
a,,,,,4,,,,,
3,,,,,7,,,,,
3,,,,,8,,,,,
a,,,,,12,,,,,
3,,,,,14,,,,,
1,13,,,,,,,,,
4,,,,,7,,,,,
4,,,,,8,,,,,
a,,,,,12,,,,,
1,14,,,,,,,,,
4,,,,,6,,,,,
4,,,,,8,,,,,
4,,,,,10,,,,,
4,,,,,14,,,,,
1,15,,,,,,,,,
1,,,,,5,,,,,
1,,,,,6,,,,,
3,,,,,10,,,,,
a,,,,,12,,,,,
3,,,,,14,,,,,
3,16,,,,,,,,,
a,,,,,4,,,,,
3,,,,,7,,,,,
3,,,,,8,,,,,
a,,,,,12,,,,,
3,,,,,14,,,,,
0,다시 피아노,,,,,,,,,
3,17,,,,,,,,,
3,,,,,1,,,,,
3,,,,,2,,,,,
3,,,,,3,,,,,
3,,,,,4,,,,,
3,,,,,6,,,,,
3,,,,,7,,,,,
4,,,,,10,,,,,
4,,,,,12,,,,,
a,,,,,14,,,,,
4,18,,,,,,,,,
4,,,,,1,,,,,
a,,,,,3,,,,,
3,,,,,10,,,,,
3,,,,,12,,,,,
3,,,,,14,,,,,
3,19,,,,,,,,,
3,,,,,1,,,,,
2,,,,,3,,,,,
2,,,,,5,,,,,
3,,,,,6,,,,,
3,,,,,12,,,,,
3,,,,,14,,,,,
3,20,,,,,,,,,
3,,,,,1,,,,,
8,,,,,3,,,,,
4,,,,,6,,,,,
4,,,,,7,,,,,
4,,,,,9,,,,,
4,,,,,12,,,,,
4,,,,,13,,,,,
3,21,,,,,,,,,
3,,,,,1,,,,,
3,,,,,2,,,,,
3,,,,,3,,,,,
a,,,,,6,,,,,
4,,,,,12,,,,,
a,,,,,14,,,,,
9,22,,,,,,,,,
a,,,,,3,,,,,
3,,,,,10,,,,,
3,,,,,12,,,,,
3,,,,,14,,,,,
3,23,,,,,,,,,
3,,,,,1,,,,,
4,,,,,3,,,,,
4,,,,,4,,,,,
4,,,,,6,,,,,
4,,,,,7,,,,,
4,,,,,8,,,,,
4,,,,,8,3,,,,
4,,,,,8,6,,,,
4,,,,,12,,,,,
4,,,,,14,,,,,
4,24,,,,,,,,,
3,,,,,3,,,,,
3,,,,,6,,,,,
3,,,,,8,,,,,
3,,,,,10,,,,,
3,,,,,12,,,,,
3,,,,,12,,,,,1
3,,,,,12,,,,,2
3,,,,,14,,,,,
3,,,,,15,,,,,
0,5 피아노,,,,,,,,,
4,25,,,,,,,,,
3,,,,,1,,,,,
2,,,,,2,,,,,
3,,,,,3,,,,,
4,,,,,4,,,,,
4,,,,,6,,,,,
3,,,,,7,,,,,
3,,,,,8,,,,,
4,,,,,9,,,,,
4,,,,,11,,,,,
4,,,,,12,,,,,
4,,,,,14,,,,,
4,26,,,,,,,,,
3,,,,,1,,,,,
2,,,,,2,,,,,
3,,,,,3,,,,,
4,,,,,4,,,,,
3,,,,,5,,,,,
2,,,,,6,,,,,
3,,,,,7,,,,,
4,,,,,8,,,,,
4,,,,,12,,,,,
3,,,,,13,,,,,
3,,,,,14,,,,,
4,,,,,15,,,,,
4,27,,,,,,,,,
3,,,,,1,,,,,
2,,,,,2,,,,,
1,,,,,3,,,,,
3,,,,,4,,,,,
2,,,,,5,,,,,
3,,,,,6,,,,,
4,,,,,7,,,,,
4,,,,,8,,,,,
3,,,,,9,,,,,
2,,,,,10,,,,,
1,,,,,11,,,,,
3,,,,,12,,,,,
2,,,,,13,,,,,
3,,,,,14,,,,,
4,,,,,15,,,,,
4,28,,,,,,,,,
4,,,,,1,,,,,
4,,,,,2,,,,,
4,,,,,3,,,,,
3,,,,,4,,,,,
3,,,,,5,,,,,
3,,,,,6,,,,,
3,,,,,7,,,,,
4,,,,,8,,,,,
3,,,,,9,,,,,
2,,,,,10,,,,,
3,,,,,11,,,,,
2,,,,,12,,,,,
1,,,,,13,,,,,
2,,,,,14,,,,,
3,,,,,15,,,,,
3,29,,,,,,,,,
a,,,,,7,,,,,
a,,,,,7,1,,,,
a,,,,,8,,,,,
3,,,,,12,,,,,
9,30,,,,,,,,,
9,,,,,8,,,,,
8,,,,,12,,,,,
8,31,,,,,,,,,
3,,,,,7,,,,,
3,,,,,8,,,,,
2,,,,,15,,,,,
2,32,,,,,,,,,
2,,,,,8,,,,,
2,,,,,11,,,,,
2,,,,,14,,,,,
5,33,,,,,,,,,
0,또 드럼,,,,,,,,,
1,37,,,,,,,,,
1,,,,,7,,,,,
2,,,,,8,,,,,
1,,,,,12,,,,,
1,38,,,,,,,,,
2,,,,,6,,,,,
1,,,,,10,,,,,
2,,,,,14,,,,,
1,39,,,,,,,,,
1,,,,,5,,,,,
2,,,,,6,,,,,
2,,,,,10,,,,,
2,,,,,12,,,,,
2,,,,,14,,,,,
1,40,,,,,,,,,
2,,,,,4,,,,,
2,,,,,7,,,,,
1,,,,,8,,,,,
1,,,,,12,,,,,
1,,,,,14,,,,,
3,41,,,,,,,,,
2,,,,,1,,,,,
3,,,,,2,,,,,
2,,,,,3,,,,,
8,,,,,4,,,,,
1,,,,,7,,,,,
1,,,,,8,,,,,
5,,,,,10,,,,,
8,,,,,12,,,,,
a,,,,,14,,,,,
0,3차,,,,,,,,,
4,42,,,,,,,,,
4,,,,,3,,,,,
a,,,,,4,,,,,
3,,,,,10,,,,,
3,,,,,14,,,,,
2,43,,,,,,,,,
2,,,,,1,,,,,
3,,,,,2,,,,,
a,,,,,3,,,,,
8,,,,,5,,,,,
8,,,,,7,,,,,
2,44,,,,,,,,,
2,,,,,6,,,,,
2,,,,,8,,,,,
2,,,,,9,,,,,
3,,,,,10,,,,,
2,,,,,11,,,,,
2,,,,,13,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
3,45,,,,,,,,,
3,,,,,8,,,,,
3,,,,,11,,,,,
4,46,,,,,,,,,
4,,,,,1,,,,,
4,,,,,2,,,,,
a,,,,,3,,,,,
a,,,,,4,,,,,
3,,,,,12,,,,,
3,,,,,14,,,,,
8,47,,,,,,,,,
8,,,,,3,,,,,
3,48,,,,,,,,,
3,,,,,6,,,,,
3,,,,,8,,,,,
3,,,,,10,,,,,
4,49,,,,,,,,,
4,,,,,8,,,,,
0,,,,,,,,,,
3,50,,,,,,,,,
3,,,,,1,,,,,
3,,,,,2,,,,,
3,,,,,3,,,,,
e,,,,,6,,,,,
4,,,,,11,1,,,,
4,,,,,12,,,,,
4,,,,,14,,,,,
a,51,,,,,,,,,
a,,,,,3,,,,,
3,,,,5,,,,,,
3,,,,6,,,,,,
3,,,,7,,,,,,
8,52,,,,,,,,,
2,,,,,3,,,,,
2,,,,,6,,,,,
2,,,,5,,,,,,
8,,,,6,,,,,,
3,,,,7,,,,,,
3,,,,7,1,,,,,
3,53,,,,,,,,,
4,,,,,1,,,,,
3,,,,,3,,,,,
3,,,,,6,,,,,
4,,,,,7,,,,,
3,,,,,9,,,,,
3,,,,,12,,,,,
3,,,,,13,,,,,
4,54,,,,,,,,,
4,,,,,1,,,,,
4,,,,,2,,,,,
4,,,,,3,,,,,
a,,,,,5,,,,,
e,,,,,7,,,,,
3,,,,,9,,,,,
8,,,,,11,,,,,
8,,,,,12,,,,,
3,,,,,14,,,,,
3,55,,,,,,,,,
b,,,,,3,,,,,
2,,,,,9,,,,,
2,,,,,10,,,,,
2,,,,,12,,,,,
2,,,,,14,,,,,
2,,,,,15,,,,,
8,56,,,,,,,,,
8,,,,,3,,,,,
8,,,,,4,,,,,
3,,,,,6,,,,,
8,,,,,7,,,,,
8,,,,,9,,,,,
8,,,,,11,,,,,
3,,,,,12,,,,,
3,,,,,13,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
a,57,,,,,,,,,
4,,,,,4,,,,,
4,,,,,7,,,,,
a,,,,,8,,,,,
4,,,,,11,,,,,
4,,,,,12,,,,,
4,,,,,13,,,,,
4,,,,,14,,,,,
4,,,,,15,,,,,
0,아웃트로,,,,,,,,,
4,58,,,,,,,,,
4,,,,,1,,,,,
4,,,,,2,,,,,
4,,,,,3,,,,,
8,,,,,6,,,,,
2,,,,,11,,,,,
2,,,,,12,,,,,
2,,,,,14,,,,,
5,59,,,,,,,,,
8,,,,,3,,,,,
3,,,,,10,,,,,
3,,,,,12,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
3,60,,,,,,,,,
3,,,,,1,,,,,
4,,,,,2,,,,,
3,,,,,3,,,,,
3,,,,,4,,,,,
3,,,,,5,,,,,
4,,,,,6,,,,,
4,,,,,8,,,,,
4,,,,,11,,,,,
4,,,,,13,,,,,
4,,,,,15,,,,,
4,61,,,,,,,,,
4,,,,,1,,,,,
3,,,,,4,,,,,
3,,,,,5,,,,,
2,,,,,7,,,,,
2,,,,,9,,,,,
2,,,,,12,,,,,
2,,,,,13,,,,,
0,여기부터 느려짐,,,,,,,,,
2,62,,,,,,,,,
2,,,,,1,,,,,
2,,,,,2,,,,,
8,,,,,3,,,,,
3,,,,,9,1,,,,
3,,,,,11,1,,,,
3,,,,,12,1,,,,
3,,,,,14,1,,,,
8,63,,,,,1,,,,
a,,,,,3,2,,,,
4,,,,,9,2,,,,
4,,,,,10,2,,,,
4,,,,,12,3,,,,
4,,,,,14,3,,,,
4,,,,,15,3,,,,
a,64,,,,,4,,,,
a,,,,,3,4,,,,
a,,,,,4,4,,,,
3,,,,,6,4,,,,
8,,,,,7,4,,,,
8,,,,,9,5,,,,
8,,,,,11,5,,,,
3,,,,,12,5,,,,
3,,,,,13,5,,,,
3,,,,,14,6,,,,
3,,,,,15,6,,,,
3,65,,,,,7,,,,
2,,,,,8,10,,,,
1,66,,,,,14,,,,
