noteType,bar,half,4th,8th,16th,32nd,3rd,6th,12th,24th
1,2,,,0,,,,,,
1,,,,3,,,,,,
1,,,,5,,,,,,
8,,,,6,,,,,,
4,3,,0,,,,,,,
4,,,1,,,,,,,
4,,,2,,,,,,,
4,,,3,,,,,,,
4,,,3,,1,,,,,
4,,,3,,2,,,,,
4,,,3,,3,,,,,
2,4,,,0,,,,,,
2,,,,3,,,,,,
2,,,,5,,,,,,
8,,,,6,,,,,,
8,,,,7,,,,,,
2,5,,,0,,,,,,
8,,,,2,,,,,,
2,,,,3,,,,,,
2,,,,5,,,,,,
8,,,,5,1,,,,,
3,,,,6,1,,,,,
3,,,,7,,,,,,
3,,,,7,1,,,,,
3,6,,,0,,,,,,
3,,,,2,,,,,,
3,,,,4,,,,,,
a,,,,5,,,,,,
3,,,,6,,,,,,
a,,,,7,,,,,,
4,7,,,,0,,,,,
4,,,,,2,,,,,
a,,,,,3,,,,,
4,,,,,4,,,,,
4,,,,,6,,,,,
4,,,,,8,,,,,
4,,,,,10,,,,,
a,,,,,11,,,,,
0,시작,,,,,,,,,
2,8,,,,0,,,,,
2,,,,,4,,,,,
3,,,,,6,,,,,
3,,,,,10,,,,,
2,,,,,12,,,,,
2,9,,,,0,,,,,
2,,,,,4,,,,,
3,,,,,6,,,,,
2,,,,,8,,,,,
2,,,,,9,,,,,
2,,,,,10,,,,,
3,,,,,12,,,,,
8,,,,,14,,,,,
2,10,,,,0,,,,,
2,,,,,4,,,,,
3,,,,,6,,,,,
3,,,,,10,,,,,
2,,,,,12,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
3,11,,,,0,,,,,
4,,,,,2,,,,,
3,,,,,4,,,,,
4,,,,,7,,,,,
3,,,,,8,,,,,
4,,,,,10,,,,,
3,,,,,12,,,,,
4,,,,,14,,,,,
4,,,,,15,,,,,
a,12,,,,0,,,,,
4,,,,,1,,,,,
4,,,,,2,,,,,
4,,,,,3,,,,,
4,,,,,4,,,,,
3,,,,,8,,,,,
3,,,,,11,,,,,
3,,,,,12,,,,,
2,13,,,,0,,,,,
2,,,,,4,,,,,
3,,,,,6,,,,,
2,,,,,8,,,,,
3,,,,,9,,,,,
3,,,,,11,,,,,
2,,,,,12,,,,,
3,,,,,13,,,,,
3,,,,,15,,,,,
2,14,,,,0,,,,,
3,,,,,2,,,,,
2,,,,,4,,,,,
3,,,,,6,,,,,
3,,,,,7,,,,,
2,,,,,8,,,,,
3,,,,,10,,,,,
3,,,,,11,,,,,
2,,,,,12,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
3,15,,,,0,,,,,
4,,,,,2,,,,,
3,,,,,4,,,,,
4,,,,,6,,,,,
4,,,,,7,,,,,
3,,,,,8,,,,,
4,,,,,9,,,,,
4,,,,,10,,,,,
4,,,,,11,,,,,
3,,,,,12,,,,,
4,,,,,13,,,,,
4,,,,,14,,,,,
4,,,,,15,,,,,
4,16,,,,0,,,,,
4,,,,,4,,,,,
3,,,,,6,,,,,
3,,,,,10,,,,,
4,,,,,12,,,,,
4,17,,,,0,,,,,
4,,,,,4,,,,,
3,,,,,6,,,,,
4,,,,,8,,,,,
3,,,,,9,,,,,
3,,,,,10,,,,,
4,,,,,12,,,,,
a,,,,,14,,,,,
4,18,,,,0,,,,,
4,,,,,4,,,,,
3,,,,,6,,,,,
3,,,,,10,,,,,
4,,,,,12,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
4,19,,,,0,,,,,
3,,,,,2,,,,,
4,,,,,4,,,,,
3,,,,,7,,,,,
4,,,,,8,,,,,
3,,,,,10,,,,,
4,,,,,12,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
a,20,,,,0,,,,,
3,,,,,1,,,,,
3,,,,,2,,,,,
3,,,,,3,,,,,
3,,,,,4,,,,,
3,,,,,8,,,,,
2,,,,,11,,,,,
3,,,,,12,,,,,
3,21,,,,0,,,,,
3,,,,,4,,,,,
2,,,,,6,,,,,
3,,,,,8,,,,,
2,,,,,9,,,,,
2,,,,,11,,,,,
3,,,,,12,,,,,
2,,,,,13,,,,,
2,,,,,15,,,,,
3,22,,,,0,,,,,
2,,,,,2,,,,,
3,,,,,4,,,,,
2,,,,,6,,,,,
2,,,,,7,,,,,
3,,,,,8,,,,,
2,,,,,10,,,,,
2,,,,,11,,,,,
3,,,,,12,,,,,
2,,,,,14,,,,,
2,,,,,15,,,,,
3,23,,,,0,,,,,
3,,,,,2,,,,,
3,,,,,4,,,,,
3,,,,,6,,,,,
3,,,,,7,,,,,
4,,,,,8,,,,,
4,,,,,9,,,,,
4,,,,,10,,,,,
4,,,,,11,,,,,
4,,,,,12,,,,,
4,,,,,13,,,,,
4,,,,,14,,,,,
4,,,,,15,,,,,
0,멜로디,,,,,,,,,
4,24,,0,,,,,,,
4,,,0,1,,,,,,
8,,,1,,,,,,,
a,,,2,,,,,,,
a,,,3,,,,,,,
8,25,,0,,,,,,,
3,,,1,,,,,,,
4,,,1,1,,,,,,
3,,,2,,,,,,,
3,,,2,,1,,,,,
4,,,2,1,,,,,,
3,,,3,,,,,,,
4,,,3,1,,,,,,
8,26,,0,,,,,,,
2,,,1,,,,,,,
2,,,1,,3,,,,,
3,,,2,,,,,,,
3,,,2,,1,,,,,
3,,,2,,2,,,,,
3,,,2,,3,,,,,
8,,,3,,,,,,,
4,27,,0,,,,,,,
4,,,1,,,,,,,
3,,,1,1,,,,,,
4,,,2,,,,,,,
3,,,2,1,,,,,,
4,,,3,,,,,,,
3,,,3,1,,,,,,
3,,,3,1,1,,,,,
8,28,,,,0,,,,,
3,,,,,1,,,,,
3,,,,,2,,,,,
3,,,,,3,,,,,
8,,,1,,,,,,,
2,,,2,,,,,,,
2,,,2,,3,,,,,
3,,,3,,,,,,,
3,29,,0,,,,,,,
3,,,1,,,,,,,
3,,,1,1,,,,,,
3,,,2,,,,,,,
a,,,2,,1,,,,,
3,,,2,1,,,,,,
a,,,2,1,1,,,,,
3,,,3,,,,,,,
a,,,3,,1,,,,,
3,,,3,1,,,,,,
a,,,3,1,1,,,,,
4,30,,0,,,,,,,
4,,,1,,,,,,,
4,,,1,,3,,,,,
3,,,2,,,,,,,
4,,,2,,1,,,,,
4,,,2,,2,,,,,
4,,,2,,3,,,,,
3,,,3,,,,,,,
4,,,3,,1,,,,,
4,,,3,,2,,,,,
4,,,3,,3,,,,,
a,31,,0,,,,,,,
4,,,1,,,,,,,
3,,,1,1,,,,,,
4,,,2,,,,,,,
3,,,2,1,,,,,,
4,,,3,,,,,,,
3,,,3,1,,,,,,
3,32,,,,0,,,,,
3,,,,,2,,,,,
3,,,,,3,,,,,
2,,,,,6,,,,,
2,,,,,8,,,,,
2,,,,,9,,,,,
2,,,,,11,,,,,
3,,,,,12,,,,,
3,,,,,14,,,,,
4,33,,0,,,,,,,
4,34,,,,0,,,,,
4,,,,,2,,,,,
4,,,,,3,,,,,
3,,,,,6,,,,,
3,,,,,8,,,,,
3,,,,,9,,,,,
3,,,,,11,,,,,
4,,,,,12,,,,,
4,,,,,14,,,,,
2,35,,0,,,,,,,
2,,,1,,,,,,,
2,,,2,,,,,,,
2,,,3,,,,,,,
8,,,3,1,,,,,,
3,36,,,,0,,,,,
4,,,,,2,,,,,
4,,,,,3,,,,,
4,,,,,5,,,,,
4,,,,,6,,,,,
3,,,,,8,,,,,
3,,,,,9,,,,,
3,,,,,11,,,,,
4,,,,,12,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
3,37,,,,1,,,,,
3,,,,,2,,,,,
4,,,,,4,,,,,
3,,,,,5,,,,,
3,,,,,7,,,,,
4,,,,,8,,,,,
3,,,,,10,,,,,
3,,,,,11,,,,,
3,,,,,13,,,,,
3,,,,,14,,,,,
3,38,,,,0,,,,,
3,,,,,1,,,,,
3,,,,,3,,,,,
3,,,,,4,,,,,
3,,,,,6,,,,,
3,,,,,7,,,,,
3,,,,,9,,,,,
3,,,,,12,,,,,
3,,,,,14,,,,,
4,39,,,,0,,,,,
4,,,,,1,,,,,
4,,,,,3,,,,,
4,,,,,4,,,,,
4,,,,,6,,,,,
4,,,,,7,,,,,
4,,,,,8,,,,,
4,,,,,9,,,,,
4,,,,,10,,,,,
4,,,,,11,,,,,
4,,,,,12,,,,,
0,2차 멜로디,,,,,,,,,
a,40,,,,0,,,,,
3,,,,,2,,,,,
3,,,,,6,,,,,
3,,,,,7,,,,,
2,,,,,8,,,,,
3,,,,,9,,,,,
3,,,,,10,,,,,
1,,,,,11,,,,,
2,,,,,12,,,,,
1,,,,,13,,,,,
3,,,,,14,,,,,
2,,,,,15,,,,,
3,41,,,,0,,,,,
2,,,,,1,,,,,
3,,,,,2,,,,,
2,,,,,3,,,,,
3,,,,,4,,,,,
4,,,,,8,,,,,
4,,,,,10,,,,,
4,,,,,12,,,,,
4,,,,,14,,,,,
a,42,,,0,,,,,,
4,,,,1,,,,,,
4,,,,2,,,,,,
4,,,,3,,,,,,
4,,,,4,,,,,,
4,,,,,12,,,,,
4,,,,,13,,,,,
4,,,,,14,,,,,
4,,,,,15,,,,,
a,43,,,,0,,,,,
3,,,,,2,,,,,
3,,,,,6,,,,,
3,,,,,7,,,,,
8,,,,,8,,,,,
3,,,,,9,,,,,
3,,,,,10,,,,,
3,,,,,11,,,,,
3,,,,,12,,,,,
3,,,,,13,,,,,
3,,,,,14,,,,,
3,,,,,15,,,,,
5,44,,,,0,,,,,
2,,,,,2,,,,,
3,,,,,6,,,,,
4,,,,,7,,,,,
3,,,,,8,,,,,
4,,,,,9,,,,,
3,,,,,10,,,,,
2,,,,,14,,,,,
2,,,,,15,,,,,
8,45,,,,0,,,,,
2,,,,,1,,,,,
2,,,,,2,,,,,
2,,,,,3,,,,,
2,,,,,4,,,,,
3,,,,,8,,,,,
3,,,,,9,,,,,
3,,,,,10,,,,,
3,,,,,12,,,,,
3,,,,,14,,,,,
8,46,,,0,,,,,,
3,,,,1,,,,,,
4,,,,2,,,,,,
3,,,,3,,,,,,
4,,,,,8,,,,,
4,,,,,9,,,,,
4,,,,,10,,,,,
4,,,,,11,,,,,
4,,,,,12,,,,,
4,,,,,13,,,,,
4,,,,,14,,,,,
4,,,,,15,,,,,
4,47,,,,0,,,,,
3,,,,,1,,,,,
2,,,,,2,,,,,
1,,,,,3,,,,,
4,,,,,4,,,,,
3,,,,,5,,,,,
2,,,,,6,,,,,
1,,,,,7,,,,,
3,,,,,8,,,,,
2,,,,,9,,,,,
1,,,,,10,,,,,
2,,,,,11,,,,,
3,,,,,12,,,,,
2,,,,,13,,,,,
1,,,,,14,,,,,
2,,,,,15,,,,,
0,마법진,,,,,,,,,
8,48,,,,0,,,,,
3,,,,,1,,,,,
8,,,,,2,,,,,
3,,,,,3,,,,,
8,,,,,4,,,,,
3,,,,,5,,,,,
8,,,,,6,,,,,
3,,,,,7,,,,,
8,,,,,8,,,,,
3,,,,,9,,,,,
8,,,,,10,,,,,
3,,,,,11,,,,,
8,,,,,12,,,,,
3,,,,,13,,,,,
8,,,,,14,,,,,
3,,,,,15,,,,,
6,49,,,,0,,,,,
2,,,,,1,,,,,
6,,,,,2,,,,,
2,,,,,3,,,,,
6,,,,,4,,,,,
2,,,,,5,,,,,
6,,,,,6,,,,,
2,,,,,7,,,,,
6,,,,,8,,,,,
2,,,,,9,,,,,
6,,,,,10,,,,,
2,,,,,11,,,,,
6,,,,,12,,,,,
2,,,,,13,,,,,
6,,,,,14,,,,,
2,,,,,15,,,,,
8,50,,,,0,,,,,
4,,,,,1,,,,,
8,,,,,2,,,,,
4,,,,,3,,,,,
8,,,,,4,,,,,
4,,,,,5,,,,,
8,,,,,6,,,,,
4,,,,,7,,,,,
8,,,,,8,,,,,
4,,,,,9,,,,,
8,,,,,10,,,,,
4,,,,,11,,,,,
8,,,,,12,,,,,
4,,,,,13,,,,,
8,,,,,14,,,,,
4,,,,,15,,,,,
e,51,,,,0,,,,,
3,,,,,1,,,,,
e,,,,,2,,,,,
3,,,,,3,,,,,
e,,,,,4,,,,,
3,,,,,5,,,,,
e,,,,,6,,,,,
3,,,,,7,,,,,
e,,,,,8,,,,,
3,,,,,9,,,,,
e,,,,,10,,,,,
3,,,,,11,,,,,
e,,,,,12,,,,,
3,,,,,13,,,,,
e,,,,,14,,,,,
3,,,,,15,,,,,
0,-1/8박 구간,,,,,,,,,
f,52,,,2,,,,,,
4,,,,3,,,,,,
3,,,,5,,,,,,
3,,,,6,,,,,,
3,53,,,0,,,,,,
3,,,,1,,,,,,
2,,,,3,,,,,,
2,,,,4,,,,,,
2,,,,6,,,,,,
2,,,,7,,,,,,
3,54,,,1,,,,,,
3,,,,2,,,,,,
2,,,,4,,,,,,
2,,,,5,,,,,,
3,,,,7,,,,,,
3,55,,,0,,,,,,
3,,,,2,,,,,,
3,,,,3,,,,,,
4,,,,6,,,,,,
4,,,,7,,,,,,
4,56,,,0,,,,,,
4,,,,2,,,,,,
4,,,,3,,,,,,
4,,,,5,,,,,,
3,,,,6,,,,,,
3,57,,,0,,,,,,
3,,,,1,,,,,,
3,,,,3,,,,,,
3,,,,4,,,,,,
3,,,,6,,,,,,
3,,,,7,,,,,,
4,58,,,1,,,,,,
4,,,,2,,,,,,
4,,,,4,,,,,,
4,,,,5,,,,,,
4,,,,7,,,,,,
4,59,,,0,,,,,,
3,,,,2,,,,,,
3,,,,3,,,,,,
8,60,,-1,0,,,,,,
4,,,-1,1,,,,,,
8,,,-1,2,,,,,,
4,,,-1,3,,,,,,
8,,,-1,4,,,,,,
4,,,-1,5,,,,,,
8,,,-1,6,,,,,,
4,,,-1,7,,,,,,
8,61,,-1,0,,,,,,
